1419462
/m/04__zp
/m/04__zp
Margaret Atwood
1976
a 6
about 1
acquaintances 1
affair 1
after 1
alternates 1
an 1
and 5
arthur 1
artist 1
as 2
attempt 1
away 1
becomes 1
between 1
bipolar 1
blackmail 1
breakthrough 1
by 1
called 1
career 1
child 1
constantly 1
count 1
criticizes 1
difficult 1
fakes 1
fame 1
feminist 1
first 1
flashbacks 2
flees 1
foster 1
found 1
from 5
has 3
help 1
her 9
hiding 1
husband 1
in 1
is 2
italy 1
joan 2
later 1
life 1
mistress 1
mother 1
novel 2
novelist 1
of 4
out 1
overweight 1
overwhelmed 1
own 1
panics 1
past 2
performance 1
poetry 1
polish 1
porcupine 1
present 2
pressures 1
protagonist 1
published 1
reader 1
receiving 1
recently 1
romance 1
royal 1
running 1
scenes 1
secrets 1
sees 1
she 2
situations 1
someone 1
spent 1
success 1
sudden 1
suicide 1
the 10
then 1
through 1
to 1
two 1
volume 1
which 1
who 2
whose 1
with 2
