18994887
/m/04jmk21
/m/04jmk21
Ian Rankin
1986

a 7
accident 1
affair 1
all 1
always 1
an 2
and 3
are 1
as 1
been 1
both 1
burn 1
but 1
caught 1
changed 1
chemical 1
child 1
coal 1
come 1
dark 1
days 1
died 1
fallen 1
faltering 1
fell 1
few 1
forced 1
from 2
girl 1
hair 1
has 2
her 3
homeless 1
hot 1
in 4
initially 1
into 1
is 1
later 2
local 1
love 1
man 1
many 1
mary 3
miller 1
mine 1
mother 2
now 1
of 1
outcast 1
past 1
pushed 1
runoff 1
sandy 1
secret 1
she 2
single 1
son 2
strange 1
sympathy 1
terms 1
that 1
the 3
to 2
torrent 1
treated 1
turned 1
up 1
warm 1
was 1
when 1
white 1
who 1
with 3
years 1
young 1
