17841827
/m/047fvd9
/m/047fvd9
Catherine Storr
1960
{"/m/0dwly": "Children's literature"}
a 8
about 1
accepts 1
accurate 1
after 1
again 1
aged 1
ago 1
alan 2
alice 1
alienates 1
along 1
also 1
and 7
apparently 1
assures 1
astonished 1
at 2
be 1
betrayal 1
billie 2
boring 1
boy 3
boyfriend 1
brighton 2
but 1
by 1
called 1
common 1
date 1
days 1
deserts 1
despite 1
details 1
disappointment 1
doesnt 1
dreams 2
end 1
enjoy 1
evening 1
experience 1
few 2
fifteen 1
finds 1
five 1
for 1
former 1
fortune 3
friend 1
friends 1
from 3
girls 3
gives 1
guesses 1
had 1
having 1
her 6
holiday 1
how 1
illness 2
in 3
inadvertent 1
including 1
is 5
it 2
joins 1
josie 2
last 1
left 1
life 1
little 1
local 2
london 2
lonely 2
longer 1
marianne 7
mark 1
meet 1
meets 1
met 1
much 3
never 1
not 1
now 1
of 4
on 3
one 1
own 1
place 1
promise 1
readings 1
realise 1
recuperated 1
reluctantly 1
remarkably 1
returns 1
romance 1
same 1
shared 1
she 12
soon 1
spurred 1
tags 1
teller 3
tells 1
ten 1
that 3
the 11
them 1
then 1
there 1
this 2
to 5
together 1
transpires 1
trip 1
tutor 1
two 1
visit 1
was 1
when 1
where 1
who 2
whom 2
will 2
with 4
woman 1
years 1
