3753688
/m/09z5b7
/m/09z5b7
Henning Mankell

14 1
a 3
also 1
an 1
and 2
as 2
axe 1
before 1
begins 1
cases 1
collecting 1
cope 1
despondent 1
detective 1
determined 1
dominican 1
elderly 1
father 1
final 1
fire 1
from 1
he 1
herself 1
his 1
in 1
increasingly 1
investigates 1
italy 1
killer 1
link 1
make 1
meanwhile 1
men 1
must 1
of 1
on 2
one 1
preying 1
prostitution 1
rackets 1
republic 1
sadistic 1
scalps 1
serial 1
set 1
sinister 1
slaughtering 1
slavery 1
successful 1
summer 1
swedish 1
sweltering 1
the 5
their 1
them 1
to 3
trade 1
trip 1
trophies 1
two 1
uncovers 1
violently 1
wallander 1
white 1
who 1
with 2
witnesses 1
woman 1
young 1
ystad 1
