5624580
/m/0dwyh9
/m/0dwyh9
Kelley Armstrong

{"/m/01hmnh": "Fantasy"}
a 6
adams 1
and 2
before 1
career 1
charity 1
cover 1
date 1
dont 1
exposure 1
family 1
for 4
free 1
from 1
gala 1
granted 1
had 1
halfdemon 1
handler 1
he 1
help 1
her 8
hes 1
highsociety 1
hope 2
hopes 1
in 1
investigate 1
is 2
isnt 1
it 1
job 2
just 1
karl 1
know 1
loves 1
marsten 1
meets 1
mind 1
more 1
museum 1
news 1
or 1
paranormal 1
perk 1
protect 1
quite 1
ready 1
sends 1
she 2
shes 1
so 1
stories 1
supernatural 1
suspects 1
tabloid 2
target 1
tested 1
than 1
that 1
the 3
theres 1
they 1
thief 1
thinksuntil 1
this 1
throws 1
time 1
to 3
true 1
twist 1
way 2
werewolf 1
what 1
whatever 1
when 1
with 1
working 1
world 1
