7159487
/m/0h7c2y
/m/0h7c2y
Katherine Kurtz
1985
1124 2
a 9
accede 1
acknowledge 1
acts 1
additional 1
additionally 1
after 3
against 2
aggressive 1
aide 1
alaric 1
allied 1
allow 1
although 1
an 3
ancient 1
and 21
anger 1
antideryni 2
are 1
armies 2
arms 1
army 11
arrival 1
arrow 1
as 6
assassinate 1
assassination 1
at 1
attempt 3
aunt 1
authority 1
battle 3
been 1
before 1
begins 1
believed 1
bishop 3
bloodline 1
both 2
burn 1
but 3
by 1
caitrin 7
camberian 1
campaign 1
cannot 1
capture 1
captured 1
capturing 1
carries 1
cause 1
century 1
charges 1
chase 1
city 2
command 1
complicating 1
comrades 1
concerns 1
confess 1
conscience 1
considerable 1
contacting 1
continually 1
convinces 1
corners 1
cost 1
council 1
crimes 2
crisis 1
day 2
days 1
decides 2
deeply 1
defeated 2
defiance 1
demands 1
departure 1
deryni 3
descendant 1
destroy 1
destruction 1
determined 1
dhugal 7
discover 1
do 1
down 2
duke 1
duncan 9
earl 1
edmund 1
elude 1
enable 1
ensuring 2
escape 2
eventually 1
executed 2
execution 2
extinguished 1
family 2
final 1
finally 1
first 1
fled 1
flee 1
foiled 1
following 2
for 3
force 1
forces 2
formerarchbishop 1
friction 1
from 3
fueled 1
furstn 1
further 1
gathered 1
gwynedd 2
gwyneddan 3
haldane 5
haldanes 1
half 2
has 6
have 1
her 5
heresy 1
herself 1
him 2
his 13
homage 1
honorable 1
hoping 1
horribly 1
host 1
hostages 1
however 3
hunt 1
husband 2
if 1
ii 1
illtimed 1
imprisonment 1
in 8
independent 1
informs 1
interrupted 1
into 2
is 10
it 2
ithel 2
jehana 3
judhael 1
july 1
justice 1
kelson 28
kills 1
king 5
laas 1
lajos 1
land 1
last 1
launch 1
lead 1
leads 1
legacy 1
liam 2
lives 1
long 1
loris 7
lure 1
macardry 2
magic 2
make 1
making 1
managed 1
manages 1
marches 1
matters 1
may 1
mclain 1
meanwhile 1
meara 4
mearan 6
meet 1
member 1
military 1
months 1
morgan 3
mother 2
move 1
multiple 1
mutilating 1
nigel 3
night 2
no 1
nonetheless 1
north 1
northern 1
not 2
novel 1
occupied 1
of 25
off 1
on 1
orders 2
out 1
over 3
overlord 1
own 2
part 1
period 1
perish 1
place 1
placing 1
plan 2
plans 1
plight 1
plot 2
possession 1
potential 2
powers 2
preparations 1
prepare 1
prepares 1
pretender 3
prince 3
protect 1
province 1
queen 2
quinnell 1
rabidly 1
rape 1
realizing 1
rebels 1
receives 1
refuses 1
reluctantly 1
remaining 1
rescue 1
rescues 1
rest 1
resting 1
return 1
rhemuth 3
risen 1
royal 1
rulers 1
same 1
second 1
secure 1
secures 1
sends 1
sentiments 1
set 1
sets 1
several 1
shortly 1
should 1
sicard 5
simultaneously 1
single 1
situation 1
soldiers 1
son 2
south 1
sovereign 1
spans 1
stake 1
succeeds 2
suffers 1
summarily 1
surrender 2
survive 2
take 1
takes 1
terms 1
that 6
the 50
their 4
thereafter 1
through 2
throw 1
to 30
torenth 3
torenthi 1
tortures 1
trap 1
travels 1
two 1
ultimately 1
uncle 2
under 1
unwilling 1
use 1
victorious 1
war 1
warn 1
weeks 1
when 1
which 1
while 1
who 5
whose 2
wield 1
will 3
with 7
