2833878
/m/085n_2
/m/085n_2
Melvin Burgess
1996-11-14
{"/m/026llv5": "Literary realism", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
14 1
3 1
a 12
abandoned 3
abuse 1
addict 1
addicted 1
addiction 2
after 6
again 2
agrees 1
allows 1
alone 1
an 1
anarchist 1
and 32
another 1
are 5
arrested 1
arrives 1
as 2
asks 1
at 4
attempting 1
attitude 1
away 1
baby 3
back 2
be 1
because 2
becomes 1
beginning 1
believing 1
better 1
blame 1
boyfriend 2
break 1
bringing 1
bristol 3
but 1
by 3
carefree 1
catalyst 1
centre 1
character 1
clean 2
cold 1
come 1
comes 1
confidence 1
continues 1
course 1
daughter 1
day 1
decides 1
declares 1
despite 1
do 1
doesnt 1
down 1
drugs 1
eager 1
enchants 1
encourage 1
ends 1
every 1
experiment 1
fail 1
father 2
feel 1
few 2
first 1
flat 1
for 3
found 1
friends 1
from 2
fund 1
gemma 17
gentle 1
get 2
getting 1
girlfriend 1
going 2
greatly 1
guilty 1
habit 1
half 1
hands 1
have 1
having 1
he 4
help 1
her 9
heroin 6
heroinfree 1
him 2
himself 2
his 5
holds 1
home 5
house 3
however 2
impulsive 1
in 9
inject 1
inspires 1
into 3
introduced 1
invite 1
is 12
it 1
jerry 1
join 1
joined 1
know 1
leave 2
leaving 1
less 1
let 1
lily 8
live 1
lives 1
living 1
long 1
longterm 1
loving 1
makes 1
marijuana 1
massage 1
meet 2
methadone 1
months 1
mother 2
motherly 1
much 1
narration 1
nervous 1
night 1
novel 1
now 1
of 7
off 3
old 1
on 1
once 2
only 2
out 2
over 1
parents 3
parlour 1
party 1
person 1
phones 1
pity 1
place 1
planning 1
pleased 1
points 1
pregnant 3
prison 2
prostitutes 1
quit 1
rebellious 1
rehabilitation 1
richard 3
rob 4
run 1
safe 1
sally 2
sent 2
settles 1
she 5
skolly 1
slowly 1
smoke 1
smoking 3
spending 1
squat 1
stay 3
story 2
suffering 1
takes 3
tar 20
teenager 1
that 2
the 18
their 3
them 5
there 2
they 7
think 1
this 2
through 1
time 3
to 18
tobacconist 1
told 1
took 1
touch 1
trust 1
turkey 1
turning 1
up 1
upsetting 1
various 1
vegetarian 1
view 1
visiting 1
vonny 3
weans 1
while 3
who 3
with 15
without 1
wont 1
work 1
would 1
year 1
years 2
young 1
