31858993
/m/0gtxtbs
/m/0gtxtbs
Katherine Langrish
2007-02-05
a 5
across 1
adopt 1
adventure 1
american 1
and 9
are 1
arrives 1
as 1
at 1
awaits 1
away 2
back 1
bay 1
becomes 1
believe 1
blood 1
books 1
boy 2
burning 1
by 2
called 1
captains 1
contrast 1
creatures 1
crew 2
danger 1
dangerous 1
dark 1
deadly 1
enemy 1
far 2
father 2
find 2
first 1
for 2
forests 1
friend 1
from 1
full 1
ghost 1
handsome 1
harald 1
haunted 1
hilde 1
his 2
impatient 1
in 5
is 4
kwimu 1
kwinu 1
leaving 1
life 1
little 1
longing 1
longship 1
looking 1
man 1
massacre 1
murdered 1
mysterious 1
native 1
norway 1
occupy 1
ocean 1
of 3
one 1
opens 1
other 2
ottar 1
peer 1
peers 2
plenty 1
psychopath 1
sail 2
sailors 1
scandinavia 1
scuttled 1
see 1
senumkwe 1
set 1
she 1
ship 2
ships 1
silkenhair 1
so 1
sole 1
son 1
soon 1
survivor 1
taking 1
the 15
their 1
them 2
they 2
to 3
treachery 1
trilogy 1
troll 1
two 2
victors 1
viking 3
village 1
vinland 2
voyage 1
when 1
where 3
who 1
whom 1
with 1
witness 1
young 2
