618682
/m/02x7kx
/m/02x7kx
Alan Garner
1965
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 3
adventures 1
and 5
another 1
as 2
back 1
books 1
by 1
cheshire 1
choices 1
city 1
concerns 1
cost 1
darkness 1
elidor 2
emphasis 1
face 1
from 2
fulfilling 1
garner 1
hardships 1
hold 1
in 1
is 1
like 1
manchester 1
many 1
moves 1
narrative 1
northern 1
of 7
on 1
originated 1
parts 1
play 1
plot 1
practicalities 1
prophecy 1
protagonists 1
radio 1
real 1
responsibilities 1
short 1
story 1
struggle 1
teenagers 1
terrible 1
that 1
the 11
they 1
to 2
world 3
young 1
