15832789
/m/03x__v_
/m/03x__v_
Adam Rex

100 1
a 5
abducted 1
accidentally 1
across 1
actually 1
adventures 1
after 2
aliens 3
all 2
allergies 1
also 1
and 10
are 2
arizona 1
arrival 1
arrive 1
be 2
being 1
boob 1
boov 6
boovworld 1
but 1
by 2
call 1
called 2
calls 1
capsule 1
captain 1
cat 1
christmas 1
committee 1
conquer 1
crazy 1
day 2
decides 1
discover 1
drive 1
earth 3
eat 1
eleven 1
enslave 1
essay 1
evil 1
fact 1
find 1
florida 2
format 1
friendly 1
friends 1
go 1
gorg 2
gratuity 1
group 1
have 1
her 2
himself 1
humans 3
in 3
including 1
indian 1
instead 2
into 1
is 6
it 1
jlo 3
journey 1
kinds 1
leader 1
like 1
looking 1
lucy 1
makes 1
more 1
mother 2
moving 1
must 1
nicknamed 1
of 4
old 2
on 3
opened 1
oranges 1
organizations 1
over 1
own 1
planet 2
problems 1
protagonist 1
put 1
relocate 1
renamed 1
required 1
running 1
save 1
sent 1
she 1
smek 1
smekday 1
smekland 1
sometimes 1
soon 1
states 1
story 1
summoned 1
survive 1
take 1
taken 1
that 1
the 17
their 2
they 3
time 1
tip 4
to 13
told 2
transported 1
travel 1
tucci 1
two 2
united 1
up 1
very 1
want 1
which 1
who 2
with 1
world 1
year 1
years 1
