182433
/m/018x_s
/m/018x_s
Neil Gaiman
1999-02-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 48
ability 1
able 1
about 2
above 1
accompany 1
actually 2
addition 1
after 2
afterwards 1
again 1
aged 1
agrees 2
airborn 1
all 2
allow 1
allows 1
alluding 1
almost 1
already 1
also 3
an 4
ancient 2
and 57
animals 1
another 2
any 2
anyone 1
anything 1
anyway 1
are 2
around 1
arrive 4
arrives 1
as 12
ask 1
asks 2
assumes 1
at 10
attempts 1
attend 1
attracted 1
avenge 1
away 2
baby 1
babylon 1
back 3
baskethis 1
be 7
bearer 1
beauty 1
because 1
become 1
been 2
before 2
begins 1
begun 1
believed 1
beside 1
better 1
between 1
binds 1
birthright 1
board 1
body 1
book 1
boy 1
break 1
brevis 2
bring 4
brings 1
broken 2
brother 1
burning 1
burns 1
but 11
by 9
called 2
can 1
candle 5
candlestub 1
cant 1
captain 1
carriage 5
carries 1
carve 1
catch 2
causes 1
causing 1
chain 3
chaining 1
chariot 1
child 1
claim 1
claims 1
clearing 2
cloud 1
come 1
coming 2
company 1
condition 1
consumes 1
continues 1
continuously 1
cooked 1
cottage 1
crew 2
crosses 1
crossroads 1
crown 3
cruelty 1
crutch 1
curse 2
custom 1
daisy 2
daughter 1
day 1
dead 1
deadly 1
dealt 1
decides 1
declines 1
delay 1
delighted 1
demands 1
departs 1
departure 1
desire 1
desired 1
desires 1
despondent 1
determine 1
dictates 1
dies 2
discovering 1
dismayed 1
distances 1
dividing 1
do 3
does 1
done 1
dormouse 1
down 1
driver 1
due 2
dunstan 4
duration 1
duties 1
earlier 1
eighteen 1
eightyfirst 1
eldest 1
employer 1
encounter 1
encounters 1
end 2
engaged 1
enraged 1
enslavement 1
enters 1
entrails 1
equally 1
escape 2
escapes 1
eventually 2
ever 2
every 1
exchange 2
explains 1
expresses 1
face 1
fades 1
faerie 9
faeries 1
failing 1
fair 1
fall 1
fallen 5
falls 1
farm 1
fearful 1
fears 1
february 1
fellowship 1
fiance 1
fight 1
filled 1
finally 2
find 3
finds 1
flower 1
follow 1
food 1
for 17
force 2
forcing 1
forest 3
forester 1
forget 1
form 1
forming 1
fortunately 1
free 1
from 8
fulfill 2
fulfills 1
gathers 1
girl 1
give 3
given 1
gives 6
glass 1
goat 4
goes 1
going 1
golden 1
gone 1
good 2
grass 1
great 1
grey 1
grows 1
guards 1
guests 1
had 2
hag 1
hairy 2
hand 2
happens 1
harmed 1
has 7
have 2
he 34
head 1
heart 4
heir 2
held 1
help 6
helps 3
her 39
heritage 1
herself 2
him 18
himself 1
hinders 1
hinting 1
his 20
home 1
horses 1
house 1
how 1
however 5
human 1
hurls 2
if 3
immediately 1
immortal 1
impossibly 1
imprison 1
imprisoned 1
in 31
inflict 1
informs 1
inn 4
instructs 1
insults 1
intends 1
intention 1
into 8
is 26
it 14
its 3
journey 3
just 2
keep 1
kill 1
killed 1
killing 2
king 1
kiss 2
knocking 1
known 1
lady 2
land 2
last 3
late 1
later 4
leaf 1
learn 2
learns 1
leave 1
leaves 4
leaving 2
left 1
leg 2
life 1
light 1
like 2
lilim 2
lillim 1
limbus 1
lion 5
listen 1
location 1
lodged 1
lodging 1
longer 2
looking 1
lord 2
lose 1
loses 1
losing 1
love 6
madam 10
magical 1
makes 3
makeshift 1
making 1
male 1
man 3
manner 1
many 3
market 5
marks 1
marriage 2
married 1
marries 1
marry 4
meal 1
meanwhile 1
meat 1
meeting 2
meets 5
men 1
mighty 1
miles 2
miss 1
misses 1
moment 1
monday 4
mondays 1
monetary 1
month 1
moon 1
more 1
morning 1
most 1
mountains 1
movement 1
mud 1
must 1
mysterious 1
named 2
nearby 2
nearly 1
needs 1
never 2
new 1
news 1
next 2
night 5
nine 1
no 2
nonetheless 1
not 5
nothing 1
now 2
nursery 2
obligation 1
obliged 1
obtained 1
obtains 1
of 35
off 2
old 5
on 13
one 3
only 3
or 1
order 2
other 1
our 1
out 5
outfit 1
over 1
own 1
pain 1
pan 1
part 1
parting 1
pass 1
passes 1
passing 1
past 1
path 2
payment 2
people 2
perceiving 1
perhaps 1
perilous 1
persuades 1
picks 1
piece 1
points 1
poison 1
poisoning 1
power 2
powers 1
preparing 1
prevent 1
prevents 1
primus 5
princess 1
process 1
promise 7
promises 1
pull 1
purchases 1
purpose 1
put 1
puts 1
quickly 2
reach 1
reading 1
realises 1
reason 1
receive 1
receives 1
receiving 1
reciprocates 1
reclaiming 1
referencing 1
regret 1
regretful 1
regretfully 1
reign 2
remembering 1
remnants 1
rents 1
rescue 1
rescued 1
reserves 1
resolves 1
rest 1
return 3
returned 2
returns 1
reveal 1
revealed 1
reveals 5
revenge 1
rhyme 2
ride 1
rides 1
rock 1
ruler 2
run 1
rushes 1
same 1
saved 1
say 1
says 2
scenes 1
scorn 1
search 3
second 1
see 1
seeing 1
seeks 3
sees 1
selfsame 1
semele 12
septimus 3
serewood 1
services 1
set 1
sets 1
share 1
she 23
shed 1
ship 3
shooting 1
shop 1
shortly 1
side 1
silver 2
simple 1
sisters 1
situation 1
sky 2
slain 1
sleep 1
slips 1
small 3
snowdrop 2
so 1
some 1
son 3
sons 2
soon 2
speak 2
spend 1
spends 1
spirit 1
stable 1
star 12
stead 1
stoat 1
stormhold 11
stranded 1
stranger 1
surprised 1
surviving 1
takes 1
talks 1
tastes 1
taunted 1
tell 1
tells 4
tending 1
tertius 1
than 1
that 33
the 141
their 4
them 2
themselves 1
then 3
there 3
they 5
thinking 1
this 1
thorn 2
three 1
through 1
time 1
tiny 1
to 91
together 2
told 1
too 1
topaz 5
touching 1
town 3
transformed 1
transforming 1
transforms 1
transport 1
trap 1
travel 2
tree 4
