9845714
/m/02ptqh0
/m/02ptqh0
William Golding
1971
{"/m/0l67h": "Novella"}
a 6
about 1
accompany 1
ancient 1
and 6
any 1
as 3
become 1
being 1
beyond 1
blind 1
bring 1
but 2
call 1
characters 1
court 2
crops 1
death 1
do 1
does 2
dwellers 1
egypt 2
employed 1
end 1
ensuring 1
eventually 1
every 1
expected 1
fact 1
failing 1
far 1
father 1
favourite 1
fighting 1
first 1
floods 1
for 2
foreign 1
god 2
going 1
great 4
has 1
he 5
held 1
himself 1
hints 1
his 6
home 1
house 4
human 1
ie 1
in 6
incredible 1
involves 1
is 10
it 2
jester 1
kind 1
king 1
knowledge 1
largely 1
liar 3
living 1
made 1
main 1
makes 1
marry 1
master 1
ndash 2
nile 3
nor 1
not 1
of 8
old 1
older 1
origin 1
outside 1
overthrows 1
pharaoh 2
piece 1
place 1
prepharaonic 1
regard 1
renegade 1
responsible 1
river 1
ruler 3
sacrifice 1
scorpion 1
semilegendary 1
set 2
sister 1
skills 1
sky 1
small 1
son 2
stories 1
story 1
succeed 1
tell 1
that 4
the 19
they 1
threatened 1
three 1
times 1
to 6
treated 1
true 1
united 1
up 1
valley 2
want 2
water 1
who 3
whole 1
will 1
with 2
world 3
year 1
young 1
