4284857
/m/0bv29r
/m/0bv29r
Cornelia Funke
2000
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 21
abandoned 2
ability 1
about 2
accidentally 1
accompany 1
actually 1
adopt 1
adores 1
adult 1
after 3
age 1
agrees 1
all 3
ambush 1
an 7
and 47
angrily 1
another 1
anything 1
appears 1
are 10
argument 2
arrives 2
as 2
at 6
aunt 1
away 3
back 2
barbarossa 9
bathroom 1
becomes 2
being 1
between 1
bo 8
boarding 1
boniface 1
both 1
boy 1
boys 3
breaks 1
brothers 1
bully 1
but 6
by 2
call 2
came 1
can 1
cannot 2
catches 1
cause 1
change 1
children 6
come 1
comes 2
confront 1
confronts 1
consents 1
conte 6
conversation 1
day 1
deal 1
death 1
decide 1
decides 2
declares 1
demand 1
demands 3
detective 1
did 1
disappeared 1
discover 1
disguised 1
distraction 1
do 5
door 1
dottore 2
during 1
encourages 1
end 1
ensuing 1
ernesto 1
escape 1
escapes 1
esther 4
estherto 1
eventually 2
everyone 1
except 1
exchange 2
explain 2
fake 1
father 2
figure 1
find 5
finds 2
fiveyearold 1
follows 1
for 6
forced 2
forces 1
from 8
furious 1
gang 1
get 1
gets 1
getz 1
give 1
go 2
gone 2
gotten 1
group 1
had 2
happened 1
happy 1
has 2
have 2
having 1
he 15
her 4
him 11
himself 1
his 10
home 4
homes 1
homework 1
hopes 1
hornet 4
house 2
houses 1
however 1
ida 10
identity 1
if 2
immediately 1
in 9
indeed 1
informing 1
informs 1
infuriating 1
initiate 1
innocent 1
inside 1
intimidates 1
is 4
island 3
isola 1
it 3
italy 1
jewelry 1
join 1
just 1
know 1
learned 1
learning 1
learns 1
leave 2
leaves 2
leaving 2
led 1
let 2
letter 1
like 2
lion 1
lire 1
little 1
live 4
location 1
lock 1
locked 1
longer 1
looking 1
loot 1
lord 3
magical 1
make 1
manage 1
manages 1
manners 1
massimo 2
meanwhile 1
meet 3
meeting 1
meets 1
menacing 1
merrygoround 8
missing 1
money 1
morning 1
morosina 3
mosca 1
mother 1
movie 1
much 1
named 1
narrowly 1
next 3
night 4
no 1
not 6
note 2
of 7
off 3
old 2
on 5
only 1
or 1
orphan 2
orphanage 1
orphans 1
other 2
others 2
out 3
outside 1
own 1
owner 1
palaces 1
payment 1
person 1
phone 1
police 1
possessions 1
precious 1
promising 1
prosper 11
proud 1
received 1
receives 1
recognize 1
recognizes 1
repayment 1
rest 1
restless 1
return 2
reveal 1
revolver 1
riccio 1
rich 1
ride 2
run 3
runaway 1
safe 2
saying 1
school 2
scipio 15
search 2
searching 1
see 1
sees 1
segreta 1
sells 1
sends 2
set 1
sets 1
she 4
shop 1
shopkeeper 1
shot 1
sister 1
sleep 1
sly 1
son 1
spavento 1
spend 2
stable 1
stay 1
steal 4
stealing 1
stella 4
stinking 1
stole 1
stolen 1
story 2
street 1
swears 1
take 1
taken 1
takes 1
taking 1
talk 1
tells 3
that 12
the 59
theater 3
their 3
them 10
there 2
they 21
thief 3
things 1
tie 1
to 32
trail 1
trip 1
truth 1
try 1
two 2
uncle 1
understands 1
up 4
using 1
valuables 1
venice 1
very 1
victor 11
visits 1
walk 1
wallet 1
wanders 1
wants 1
warehouse 1
warn 1
was 1
wealthy 2
were 1
what 2
when 8
where 6
which 3
while 4
who 7
will 3
wing 3
with 6
wonderful 1
work 2
young 1
