28640612
/m/0cz99ws
/m/0cz99ws
Charles Romyn Dake
1899
{"/m/08sdrw": "Adventure novel"}
100000 1
154 1
1728 1
182 1
1830 1
1877 1
200 1
200000 1
300milewide 1
4th 1
8milehigh 1
8s 1
a 27
abducted 1
according 1
acquaintance 1
across 1
activities 1
activity 1
actual 1
adventures 1
after 3
agnosticism 1
ahpilus 6
allowed 1
along 1
also 1
american 1
among 1
an 3
ancient 1
and 30
antarctic 1
any 1
are 5
area 1
arrive 1
arrived 1
arthur 3
as 4
astor 1
astounding 1
at 5
author 1
back 1
bainbridge 4
banished 1
barbarian 1
be 1
beautiful 1
been 1
belleville 1
bellevue 1
below 1
between 1
book 3
breaking 1
brings 1
business 1
but 3
by 8
candidate 1
castaway 1
castleton 5
catch 1
century 1
character 1
christianity 1
circumnavigation 1
city 3
claims 1
cold 2
come 1
company 1
comparable 1
consists 1
continent 2
corresponding 1
crater 1
curtain 1
dangerous 1
day 1
deaths 1
december 1
deep 1
depart 1
deposited 1
descendants 1
describes 2
despite 1
diregus 2
discovery 1
discussion 1
discussions 1
doctors 1
dr 6
drake 3
driven 1
duke 3
during 2
each 2
earlier 2
eccentric 1
efforts 1
elicits 1
engaging 1
englishman 1
entrance 1
episodic 1
essential 1
european 2
event 1
events 1
eventually 1
except 1
exile 1
exiles 2
exlover 1
expedition 1
extravagant 1
f 1
factotum 1
falls 1
feat 1
february 1
fend 1
figure 1
first 1
fleeing 1
fog 1
for 5
forbidden 1
form 1
fortynine 1
francis 2
from 6
gap 1
george 1
given 2
gone 1
gordon 2
gorge 2
governor 1
great 1
griefstricken 1
group 1
guy 1
had 1
halfcentury 1
happiness 1
harbor 1
has 2
have 1
he 5
her 1
hilili 5
hililites 2
him 1
himself 1
his 8
hospitably 1
hotel 2
ice 1
illinois 3
impassable 1
in 22
incapacitates 1
inhabitants 1
inland 1
intense 1
interests 1
interlude 1
interrupted 1
into 1
invasions 1
is 14
island 3
islands 1
it 1
its 1
jane 1
lake 1
large 1
later 1
latitude 1
lead 1
leaps 1
learned 1
leave 1
leaving 1
led 1
left 1
library 1
lilima 5
literature 1
local 2
love 2
mad 1
mainly 1
makes 1
making 1
man 1
many 1
marble 1
marry 1
masusaelili 1
medical 1
mediterranean 1
mentions 1
meteorological 1
montevideo 1
more 1
mount 1
mountains 1
much 1
mystic 1
narrative 1
narrator 5
near 2
new 1
niece 1
night 1
observations 1
occasional 1
of 27
off 1
offenses 1
old 1
older 1
olympian 1
olympus 1
on 6
one 2
opinions 1
or 1
original 1
other 2
outside 1
over 1
part 1
particular 1
party 1
passes 1
passing 1
patient 1
period 1
peters 10
physical 1
physically 1
picked 1
poe 2
poetry 1
points 1
pole 2
politics 1
population 1
prohibition 1
prowess 1
publication 1
published 1
purporting 1
pym 12
race 1
ranging 1
rare 1
reclusive 1
relates 1
rescue 1
result 1
returned 1
returning 1
reveals 1
ringshaped 1
romans 1
romantic 1
rome 2
ruled 1
sage 1
sailor 1
schooner 1
science 1
sea 1
section 1
set 1
settle 1
ship 1
shipload 1
shipmates 1
shortlived 1
sir 1
slopes 1
snow 1
society 1
son 1
south 2
southern 1
sports 1
states 1
stay 1
storm 1
story 3
succumb 1
summit 1
surrounded 1
survivor 1
tell 1
than 1
that 4
the 47
their 2
there 2
these 1
they 2
thirtynine 1
this 1
threatens 1
through 2
throw 1
time 1
to 23
topics 1
traveling 1
treated 1
tsalal 1
turn 1
two 2
united 1
unrequited 1
until 1
up 2
uruguay 1
us 1
valiant 1
various 1
venice 1
visits 2
volcanic 3
voyage 3
warmed 1
was 2
weeks 1
well 1
what 1
when 1
which 3
white 2
who 3
with 5
works 1
world 1
written 1
years 2
york 1
younger 1
