1273623
/m/04p5gt
/m/04p5gt
W. Stanley Moss
1950
{"/m/098tmk": "War novel"}
144 1
a 1
across 1
and 2
april 1
are 2
bill 1
bogarde 1
british 2
by 1
cairo 1
captain 1
commander 1
country 1
cove 1
cretan 1
crete 1
david 1
dirk 1
dso 1
during 1
executive 1
far 1
fermor 1
forces 1
general 1
german 1
goring 1
greek 1
heinrich 1
help 1
ii 1
in 1
island 4
kidnap 1
kreipe 2
land 1
leigh 1
local 1
major 1
marius 1
mc 1
mediterranean 1
moss 1
nazis 1
occupied 1
of 5
officers 1
on 2
operations 1
oxley 1
patrick 1
picked 1
resistance 1
rough 1
secluded 1
side 1
soe 1
special 1
stanley 1
stationed 1
take 1
taken 1
the 10
they 3
to 2
up 1
war 1
was 1
where 2
with 1
world 1
