922791
/m/03q79f
/m/03q79f
Jeffrey Shaara
1996
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
accurately 1
addition 1
also 1
and 6
antietam 2
approach 1
armies 1
armistead 1
army 1
battle 1
book 1
bull 1
bureaucracy 1
chamberlain 1
chancellorsville 1
colonel 1
combat 1
confederate 2
copying 1
coverage 1
covering 1
cursory 1
day 1
deals 1
depicted 1
detailing 1
details 2
disillusionment 1
drama 1
dreading 1
e 1
emotional 1
events 3
father 1
fervor 1
fighting 1
film 1
fire 1
first 1
focusing 2
for 1
fredericksburg 1
friend 1
friends 1
gen 1
general 5
hancock 2
have 1
he 1
his 2
historical 1
immediate 1
important 1
in 2
including 1
instance 1
j 1
jackson 2
joshua 1
leading 1
lee 3
lewis 1
lieutenant 1
lo 1
lt 1
major 1
most 1
movements 1
much 1
novel 2
of 8
officers 1
old 1
omits 1
on 3
only 1
prewar 1
primarily 1
provides 1
religious 1
robert 1
run 1
scott 1
secession 1
shaara 1
situations 1
soldiers 1
spends 1
stonewall 1
strategies 1
tactical 1
the 14
thomas 1
to 3
troop 1
two 1
up 1
version 1
virginia 1
war 1
while 1
will 1
winfield 1
with 2
