22216108
/m/05q5wjz
/m/05q5wjz
Cassandra Clare
2009-03-24
a 16
able 1
about 4
accidentally 1
accusing 1
actually 5
after 8
afterward 1
afterwards 1
again 1
against 1
alec 2
alicante 2
aline 5
alive 1
all 2
along 1
alongside 1
always 1
amatis 2
an 2
and 29
angel 4
angels 1
anger 2
angering 1
apart 1
apologizes 1
appears 1
are 4
arrives 1
as 3
asked 1
asks 3
asleep 1
at 2
attack 1
avoids 1
awaken 1
away 2
back 3
barely 1
battle 3
be 1
because 1
bed 1
bedroom 1
been 2
before 3
begin 1
begins 1
behind 2
being 3
between 1
binding 2
blames 1
blood 6
body 1
book 1
both 1
bound 1
breaks 2
brief 1
bringing 1
brother 1
by 4
cain 1
calm 1
can 1
capture 1
catches 1
cause 1
causes 3
causing 1
celebration 1
city 1
claims 1
clary 23
clarys 2
clave 2
coma 1
come 1
complete 1
convince 1
cookbook 1
country 1
cousin 1
danger 1
day 1
daylighter 1
days 1
demon 5
destroy 1
did 1
discover 4
discovers 1
disguised 1
dishes 1
down 1
downworlders 1
drive 1
due 2
during 1
dying 1
easily 1
end 2
epilogue 1
even 1
eventually 2
experiment 1
explode 1
fairchild 1
fall 1
family 1
far 1
fatally 1
father 1
feeling 1
feelings 1
fight 5
finally 3
find 6
finds 1
fireworks 1
flames 1
flees 1
flirts 1
following 1
for 19
forsaken 1
friends 1
from 4
fulfills 1
funeral 1
gain 1
gives 1
glass 1
go 2
goes 1
grabbed 1
grant 1
ground 1
group 1
had 4
halfdead 1
hall 1
hallucinate 1
hands 1
harsh 2
has 4
hate 1
he 15
heartbroken 1
heat 1
help 2
her 33
herondale 1
him 11
himself 1
his 9
hodge 2
holding 1
home 2
hopes 1
horrifically 1
house 3
however 1
in 17
incesterous 1
incriminate 1
infirmary 1
informs 4
inquisitor 2
instead 3
institute 2
instruments 1
insults 1
intends 1
intent 2
into 3
introduced 2
is 13
it 7
jace 21
jail 4
just 1
keep 3
keeper 1
kept 1
kill 1
killed 3
kills 1
kiss 2
kissing 2
lake 4
lands 1
last 2
later 2
league 1
learn 1
leave 2
leaves 4
lie 1
lies 1
life 2
lightwoods 1
loves 1
luke 1
lying 1
lyn 4
magnus 3
make 1
manage 1
managed 1
manages 1
mangus 1
manor 2
mark 1
marks 1
max 2
meaning 1
meanwhile 1
meet 2
mirror 1
moment 2
moments 1
morning 1
mortal 1
mother 2
mothers 1
must 1
name 1
new 1
next 1
not 5
note 2
nothing 1
now 1
of 24
off 1
offers 1
on 4
once 1
one 2
only 8
order 2
others 2
out 4
over 1
own 1
paralyze 1
passionate 1
passionately 1
penhallow 1
place 2
plan 2
plans 2
plates 1
portal 1
portals 1
powerful 1
previous 1
projection 1
protection 1
put 1
ragnor 2
raphael 3
raziel 6
realize 1
received 1
refuses 1
relationship 1
remains 2
rescue 1
resolve 1
return 3
returns 1
reveals 1
right 1
ring 1
romance 1
ruins 1
run 1
rune 1
runes 1
running 1
sacrifice 2
safety 1
sake 1
samuel 2
saving 1
says 1
schemes 1
search 1
sebastian 11
see 1
sees 1
selfish 1
shadowhunters 1
share 2
she 8
shocked 1
showed 1
siblings 1
simon 8
sister 1
slash 1
sneaks 3
so 1
some 1
son 2
spell 3
spellbook 2
spy 1
stabbing 1
staying 1
stephen 1
stop 1
stops 1
successful 1
successfully 1
summon 1
summoning 1
summons 1
swallow 1
taking 1
talking 2
teaches 1
telling 2
tells 1
that 17
the 61
their 3
them 7
then 12
there 1
they 5
things 1
this 5
three 2
throat 1
through 4
thrown 1
throws 1
time 1
to 71
together 3
too 1
travel 1
travels 1
tricking 1
two 10
up 5
use 1
uses 1
using 3
valentine 10
valentines 1
verlac 1
voice 1
waiting 1
wants 2
was 2
watching 1
water 1
wayland 2
what 1
when 6
where 5
which 3
while 4
who 8
will 1
wish 2
with 13
womb 1
words 2
wounds 1
