21188512
/m/03fm37
/m/03fm37
Michael Crichton
1995-09
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/017rf8": "Techno-thriller", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 12
abandoned 2
abducted 1
able 1
about 3
absence 1
accompanies 1
across 2
actually 1
adjacent 1
adults 1
advanced 1
after 5
aggressive 1
all 2
along 1
also 2
among 1
amongst 1
an 4
and 32
animal 1
animals 2
antisocial 1
any 1
arby 4
are 6
as 5
assisted 1
at 4
attacked 1
attacks 1
attempts 1
away 2
b 2
babies 1
baby 2
back 1
bankrupt 1
base 1
baselton 4
bay 1
be 2
been 1
behavior 3
being 2
benton 1
biosyn 1
bitten 2
black 1
boat 4
book 2
box 1
brain 1
breaks 1
bring 1
brings 1
broken 2
brought 1
building 1
but 4
by 9
cage 1
camp 2
carnivores 1
carnotaurus 1
carr 1
causing 1
characters 1
comes 2
coming 1
company 1
concept 1
concerns 1
conflicts 1
contaminated 1
cow 1
crichton 1
curtis 1
daylight 1
dead 1
decision 1
declares 1
deduce 1
deprived 1
designed 1
destroy 1
destructive 1
developed 1
die 1
dinosaur 1
dinosaurs 2
disappears 1
disaster 1
discovered 1
discusses 1
disease 1
diseases 1
dispatches 1
doc 1
dodgson 8
due 2
eat 2
eddie 3
eggs 2
emitting 1
encounter 1
encounters 1
ends 1
enter 1
equipment 1
escape 1
ethological 1
evading 1
even 1
events 1
eventually 1
evolutionary 1
exact 1
example 1
explorer 1
extinction 1
face 1
facility 1
fails 1
fated 1
fears 1
feed 1
fending 1
field 1
finally 1
first 1
fix 1
flashlights 1
fleet 1
for 5
forces 1
ford 1
from 3
functional 1
gas 1
geneticist 1
george 1
getaway 1
go 1
grab 1
group 2
grown 1
had 1
harding 2
harmful 1
has 2
hatched 1
have 2
he 5
head 1
helicopter 1
her 2
high 1
him 1
himself 2
his 3
home 1
homogenizing 1
hopes 1
howard 1
however 1
humanity 1
humans 1
ian 1
immobile 1
in 7
including 1
infant 1
infected 3
ingen 3
injured 1
inside 1
instead 1
is 15
isla 3
island 4
it 3
its 3
jurassic 1
keep 1
kelly 3
killed 2
king 4
knowledge 1
lair 1
learned 1
learning 1
leave 1
leaves 1
left 1
leg 4
levine 9
lewis 1
located 1
locates 1
location 2
lock 1
mad 1
main 1
making 1
malcolm 9
manage 1
manages 1
mdash 2
means 1
meanwhile 1
members 1
might 1
mission 1
modern 1
morphine 1
most 1
must 1
natural 1
nature 2
nearby 1
nest 2
nesting 1
noted 1
novel 2
now 1
nublar 1
observer 1
of 22
off 2
offspring 1
on 5
once 2
one 3
operation 1
organize 1
other 1
over 1
pachycephalosaurus 1
pack 1
paleontologist 1
panics 1
parent 1
parents 1
park 2
particularly 1
plan 1
possibility 1
power 1
previous 2
prions 4
proceed 1
process 1
procompsognathus 2
production 1
provided 1
quick 1
quickly 1
raptors 2
rb 1
reach 2
reared 1
relationship 1
remainder 1
rescue 3
rescued 1
retrieve 1
revealed 1
rex 1
richard 1
rival 1
role 1
root 1
said 1
same 1
sarah 5
scare 1
scared 1
schoolchildren 1
science 1
second 1
secret 1
separated 1
she 1
sheep 1
shelter 1
shouldnt 1
show 1
site 4
six 1
smell 1
social 2
sociobiological 1
some 2
sorna 2
sound 1
spending 1
spread 1
states 1
station 1
steal 1
stealing 1
steps 1
stops 1
story 1
stowed 1
strong 1
supply 1
survived 1
survives 1
survivors 2
suv 1
take 1
taken 1
talk 1
team 3
teams 1
tell 1
tendency 1
that 5
the 56
their 4
them 6
theme 1
themselves 1
then 1
theories 1
there 2
they 2
this 2
thorne 4
throughout 1
throws 1
time 3
to 25
too 1
towards 1
track 1
trex 2
trexes 2
trying 1
two 2
tyrannosaurs 1
tyrannosaurus 1
tyranosaurus 1
uncontrolled 1
underlings 1
up 2
utilize 1
various 1
vehicles 1
velociraptor 1
velociraptors 5
violent 1
was 1
wealthy 1
well 2
went 1
were 1
when 2
where 3
which 1
while 2
who 8
wildlife 1
will 1
with 12
without 1
years 1
