9927009
/m/02px6yj
/m/02px6yj
Nicholson Baker

a 5
all 1
an 1
and 2
any 1
are 1
baker 2
based 1
book 1
building 2
bulk 1
conclusions 1
consciously 1
deals 2
detailed 1
digressing 1
does 1
employed 1
end 1
escalator 1
extensive 1
few 1
footnote 2
footnotes 3
given 2
he 2
human 1
if 1
in 3
inside 1
is 2
it 2
lunchtime 1
making 1
man 1
mezzanine 2
midtown 1
mind 1
minds 1
moments 1
multipage 1
occasionally 1
of 7
office 1
on 3
or 1
page 1
past 1
person 1
plaza 1
point 1
rambling 1
reality 1
recollections 1
rochester 1
run 1
she 1
some 1
subject 1
surface 1
that 2
the 15
their 1
them 1
themselves 1
there 1
think 1
thinker 1
thoughts 1
through 4
time 1
to 3
towards 1
travelling 1
trip 1
up 2
use 1
were 1
where 1
with 2
within 1
