12978507
/m/02z21l2
/m/02z21l2
Richard Laymon

{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 6
accidentally 1
after 1
an 1
attempt 1
become 1
been 2
before 1
breach 1
breaking 1
but 1
by 1
cannibalistic 1
cave 2
cavern 1
century 1
concerns 1
darcy 1
destroys 1
escape 1
exits 1
family 1
fire 1
for 1
group 2
guides 1
had 1
half 1
has 1
in 2
into 1
living 1
novel 1
of 4
one 1
over 1
portion 1
release 1
savages 1
secretly 1
small 1
takes 1
that 2
the 6
they 2
to 3
tour 1
tourists 1
trapped 1
try 1
underground 1
up 1
wall 1
walled 1
when 1
who 1
years 1
