2422042
/m/07bz55
/m/07bz55
Stephen Baxter
1999
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
21st 2
3753 1
a 4
action 1
all 1
an 1
and 5
appearance 1
argument 1
around 2
asteroid 1
at 1
be 2
been 1
begins 1
book 1
but 2
by 1
can 1
centering 1
century 2
change 1
changes 1
children 1
collapsed 1
come 1
computing 1
covers 1
cruithne 1
decay 1
decides 1
descendants 1
discovery 1
doomsday 1
due 1
early 1
earth 1
embedding 1
end 1
engineering 1
eventually 1
exhausted 1
existence 1
extinction 1
face 1
fate 1
fermi 1
form 1
forms 1
from 1
gateway 1
genetic 1
has 2
have 1
however 1
humanity 2
in 1
including 2
indefinitely 1
infinite 1
inner 1
input 1
intelligence 2
into 1
is 1
it 1
itself 1
last 1
lossless 1
malenfant 1
message 1
mysterious 1
never 1
new 1
not 1
novel 1
of 9
on 2
onwards 1
other 1
paradox 1
part 1
past 1
physical 1
pointless 1
portion 1
possible 1
proton 1
range 1
reid 1
set 1
several 1
should 1
since 1
solar 1
some 2
space 1
substrate 1
superintelligent 1
survive 1
survived 1
system 1
takes 1
that 1
the 17
theoretically 1
there 1
this 2
thoughts 1
time 2
to 3
topics 1
ultimate 1
universe 2
universes 1
various 1
when 1
where 1
wide 1
will 2
world 1
