4474248
/m/0c4gjt
/m/0c4gjt
Beatrix Potter
1909
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 14
accept 1
afford 1
an 1
and 15
angle 1
announcing 1
are 4
as 3
assortment 1
at 1
bargains 1
becomes 1
behave 1
being 1
but 2
candle 1
candles 2
cannot 1
cash 1
certain 1
change 1
characters 2
clever 1
close 1
coda 1
comfortably 1
control 1
counting 1
create 1
creating 1
credit 2
crowd 1
customers 4
daughter 1
day 1
decided 1
delight 1
delighted 1
delivers 1
device 1
disgruntled 1
dog 1
doll 1
dormouse 3
eat 1
empty 1
ends 1
enough 1
eponymous 1
everybody 1
everything 1
exploits 1
extend 1
familiar 2
fear 1
finally 1
first 1
flustered 1
for 2
forced 1
frightened 1
from 3
gamekeeper 1
german 1
gets 1
ginger 5
give 1
goloshes 1
goods 2
great 1
grows 1
handkerchiefs 1
hat 1
he 2
hennypenny 1
her 2
himself 1
his 1
if 1
illustration 1
in 7
including 1
inconvenience 1
insists 1
inspires 1
instincts 1
intention 1
into 1
is 3
it 1
its 1
leave 1
lengthy 1
license 1
literary 1
living 1
long 1
make 1
many 1
marketing 1
merchants 1
mice 1
miss 2
most 1
mouse 1
mouth 1
mr 1
mrs 1
natural 1
never 1
new 1
of 9
offers 2
on 2
one 1
only 1
operating 1
other 1
out 2
overwhelm 1
own 1
paid 1
parcels 1
partners 1
pay 1
peppermints 1
peter 2
pickles 5
policeman 2
poster 1
potter 1
predatory 1
prey 1
prices 1
printed 1
proprietor 1
prove 1
put 1
rabbit 2
raises 1
rates 1
reader 2
receive 1
red 1
refuses 2
remains 1
reopen 1
return 1
sale 1
sally 2
samuel 1
sell 1
sends 1
setting 1
she 1
shop 7
shopkeepers 2
shown 1
situation 1
snuff 1
spotty 1
stitchedon 1
stout 1
strangely 1
such 1
sugar 1
summons 1
suspense 1
tabitha 1
tale 2
taxes 1
tension 1
terrier 1
that 1
the 30
their 5
thus 1
tiggywinkle 1
till 1
to 8
tomcat 1
traps 1
twitchit 1
two 2
universe 1
unlimited 1
variety 1
very 1
village 2
villagers 2
warm 1
warren 1
waters 1
weather 1
when 1
whiskers 1
who 1
will 2
with 2
wonders 1
would 1
year 1
yellow 1
