4092943
/m/0bhm3m
/m/0bhm3m
Marcel Pagnol
1957
10 1
117 1
31 1
a 26
accepts 1
across 1
after 1
again 1
against 1
age 1
allow 1
allows 2
along 2
also 2
although 1
always 1
amount 1
an 4
and 26
another 1
apprehension 1
are 3
area 1
around 2
as 4
at 5
bad 1
be 1
been 2
beginning 1
being 1
believing 1
between 1
bit 1
both 1
brother 1
burst 1
but 1
by 1
canal 4
cant 1
career 1
caretaker 4
carriage 1
caught 1
childhood 2
christmas 1
close 1
commands 1
company 3
complaint 2
concluded 1
confront 1
confronted 1
consuming 1
continue 1
could 2
countryside 2
crazy 1
cross 1
damage 1
day 1
de 1
death 2
decides 1
delight 1
demanding 1
departure 1
despite 1
devastated 1
different 1
director 1
discover 1
do 1
dog 2
door 4
doors 2
dress 1
dresses 1
dressing 1
during 2
each 1
eccentric 1
emergency 1
employee 1
employees 1
encounter 2
encounters 1
ends 1
epilogue 1
estate 1
estates 1
every 1
exploring 1
eyes 1
familiar 1
family 8
father 5
fear 1
fearing 1
features 1
feed 1
feeds 1
feels 1
few 1
film 3
final 2
first 2
following 1
for 6
forbids 1
former 1
fraction 1
friendly 1
from 2
future 2
gate 1
girl 2
gloire 1
goatherd 1
granted 1
grasshopper 1
great 1
grounds 1
groundsman 1
happy 1
has 3
have 1
having 1
he 9
her 5
herself 1
hills 2
him 4
hired 1
his 15
holiday 5
holidays 1
home 3
honest 1
house 5
however 2
in 10
into 2
is 11
isabelle 4
issued 1
it 4
job 1
journey 5
jules 1
jumps 1
key 5
killed 1
kilometers 1
la 1
land 1
large 1
last 1
later 1
leave 1
left 1
lili 4
locked 1
long 1
lose 1
maintaining 1
make 2
marcel 16
marseilles 4
matter 1
meet 1
meeting 2
meets 2
mentions 1
mon 1
more 2
mother 3
mouth 1
much 2
nevertheless 1
now 2
observe 1
observes 1
of 20
offers 1
official 1
old 1
on 2
one 6
only 2
open 1
or 1
ordeal 1
other 1
out 1
outside 1
owner 2
padlock 1
padlocked 2
pass 1
passes 1
paul 3
persuasion 1
picks 1
plan 1
play 2
point 1
points 1
portion 1
possibly 1
pre 1
private 1
property 3
prosecution 1
prospects 1
provence 2
public 1
pupilsbouzigue 1
purchased 1
put 1
quite 1
rage 1
reach 2
realises 1
realizes 1
reduced 1
report 2
reservations 1
rest 1
return 1
returns 1
road 1
rock 1
runs 2
school 1
sees 1
several 1
she 2
short 1
shortcut 1
smashes 1
so 2
soldier 1
some 1
spare 1
spell 1
still 2
strange 1
studio 1
successful 1
sudden 1
summer 2
take 1
takes 1
teacher 1
telling 1
tells 3
that 6
the 60
their 4
them 5
then 3
they 14
things 2
this 4
threatening 1
through 2
thus 1
time 6
times 1
to 22
towpath 1
transport 1
travelling 1
trepidation 1
trespassing 1
turn 1
uncle 1
unlawfully 1
unlock 1
until 1
up 3
upright 1
use 2
various 2
very 1
visit 2
walk 1
walking 1
war 1
was 1
watching 1
way 1
weekend 1
when 5
which 4
whilst 1
who 5
will 2
winding 1
wish 1
with 5
withdraws 1
workers 1
works 1
world 1
would 1
yearns 1
years 1
younger 1
