976105
/m/03vz3t
/m/03vz3t
Ben Jonson
1606

a 8
act 1
after 2
aim 1
all 2
alone 1
and 18
announced 1
annoys 1
are 3
arrested 1
arrive 2
arrives 1
as 2
aspire 1
attempts 1
away 1
badly 1
be 2
bearing 1
beautiful 1
been 1
before 1
being 1
believe 1
between 1
bonario 2
business 1
but 1
by 3
catch 1
ceaseless 1
celia 6
circumstances 1
comes 1
constantly 1
coordinates 1
corbaccio 5
corvino 8
court 1
courtroom 1
deathbed 1
decides 1
despite 1
devised 1
died 1
disguise 1
disguising 1
disinherit 1
disinheriting 1
down 1
drives 1
due 1
dupe 1
dupes 1
each 2
encourages 1
english 1
enrages 1
ensuing 1
entangled 1
episodes 1
everyone 1
failing 1
fantasies 1
father 1
favour 1
feeling 1
finally 1
for 3
fortune 1
forward 1
gentleman 1
gets 1
getting 1
giant 1
gifts 1
give 1
goes 1
guides 1
has 3
have 1
having 1
he 5
heir 2
help 1
her 4
hide 1
him 8
himself 2
his 8
however 1
humiliates 1
illness 1
in 10
inscribed 1
inside 1
insistent 1
insists 1
into 1
involving 1
is 4
it 1
items 1
just 1
lady 2
leaves 1
left 2
long 1
luxurious 2
making 2
mentions 1
mixup 1
more 1
mosca 10
mountebank 1
must 1
named 1
new 1
now 1
of 8
offended 1
offers 1
on 2
order 3
outlandish 1
own 1
parasite 1
peregrine 2
place 1
plans 1
pleas 1
please 1
plots 1
politic 1
politick 2
pretends 1
promises 1
punished 1
rape 1
refuses 1
requires 1
rescue 1
returns 1
reveal 1
revive 1
role 1
scoto 1
sedition 1
seduce 1
see 1
sequence 1
shell 1
sideroom 1
sir 3
sleep 1
son 2
sophisticated 1
take 2
talking 1
talks 1
telling 1
tells 1
that 5
the 11
them 3
there 1
they 2
this 2
three 1
to 21
tortoise 1
traveller 1
travellers 1
truth 1
turn 1
up 1
venetian 1
volpone 16
voltore 3
wealth 1
wealthy 1
wellburied 1
which 1
while 1
who 1
wife 1
will 1
with 6
woman 1
wouldbe 2
young 1
