4554204
/m/0c8lg1
/m/0c8lg1
Winston Churchill
1899
1883 1
1886 1
1887 1
1888 1
a 19
about 2
action 1
africa 1
african 2
aggressor 1
agree 1
aims 1
allies 1
also 1
amended 1
an 2
and 26
antonio 1
any 1
anything 1
apart 1
are 4
area 2
arisen 1
armed 1
army 3
arrest 1
arrival 1
as 3
ask 1
at 1
attempt 1
attempts 1
attracted 1
balls 1
barbette 1
basis 1
battery 2
be 3
beautiful 1
became 1
because 1
been 1
between 1
blue 1
bombard 1
bombarded 1
book 1
border 1
both 1
bowed 1
break 1
british 2
buildings 1
but 5
by 4
called 2
can 2
canal 1
capital 4
channel 1
city 4
civil 1
claim 1
colony 2
commanding 1
conflicting 1
confused 1
constitution 2
control 1
council 1
country 3
course 1
culminates 1
dangerously 1
dealt 1
death 1
decides 2
deciding 1
defences 1
described 1
description 1
despatch 2
despite 1
destruction 1
dictator 1
dictatorship 1
differing 1
difficult 1
discover 1
dispute 1
disputed 1
dissuade 1
do 2
during 1
earth 1
effective 1
elections 1
electoral 1
embrasures 1
en 1
end 1
england 1
entrance 1
escapes 1
established 1
events 5
expedient 1
extremely 1
eye 1
face 1
factions 1
fastmoving 1
fictional 1
fierce 1
fight 1
fighting 2
final 1
finds 2
five 1
flag 1
flees 1
for 4
force 1
forts 1
frequent 1
from 4
front 1
frontier 1
gardens 1
general 2
genteel 1
graceful 1
gratified 1
great 2
green 1
grossly 1
ground 1
guard 2
guns 1
handed 1
hapeless 1
harbour 5
has 7
he 2
her 1
herself 1
high 1
him 3
his 6
hms 1
hold 1
house 2
how 1
hundred 1
imposing 1
in 13
include 1
increased 1
intended 2
intends 1
invaders 1
invades 1
invasion 2
is 13
it 2
italy 1
its 1
itself 1
knowledge 1
knows 1
last 1
laurania 3
lauranian 4
lay 1
leader 1
leaving 1
line 1
live 1
located 1
loomed 1
loyal 2
loyalties 1
lucile 3
majestic 1
maneuvering 1
many 1
marked 1
mediterranean 1
mile 1
military 2
molara 6
mole 1
most 2
mound 1
move 1
much 1
narrow 1
navigable 1
navy 2
nearly 1
nineinch 1
north 1
not 1
obey 1
obliged 1
of 28
on 5
opens 1
oppose 1
or 2
orders 1
outside 1
over 3
overlay 1
palace 3
palms 1
parliament 2
parliamentary 1
part 2
party 1
people 1
pile 1
place 2
plans 1
political 2
poor 1
popular 2
position 1
precipitated 1
preparations 1
president 2
presidential 1
presiding 1
pressure 1
previously 1
proceeds 1
produced 1
proper 1
protecting 1
protective 1
public 1
railway 1
reached 1
rebel 1
red 1
reduced 1
refusal 1
refuse 1
register 1
regular 1
relieved 1
remains 1
republic 1
republican 2
restore 1
result 1
revolution 1
revolutionaries 2
revolutionary 1
right 1
roofs 1
rule 1
runs 1
safety 1
savrola 8
scene 1
scramble 1
sea 1
seaward 1
seduce 1
seen 1
senate 1
several 1
she 1
shipping 1
sides 1
similar 1
small 1
so 2
society 2
some 2
somewhere 1
soothed 1
spain 1
split 1
square 3
squares 1
start 1
started 1
state 1
stated 1
steps 1
still 1
stood 1
storming 1
story 1
street 2
subsequently 1
suez 1
support 2
surface 1
take 1
takes 1
taking 1
tension 1
that 3
the 70
their 1
them 1
there 5
they 1
this 3
thousand 1
threat 1
three 1
tiled 1
to 27
troops 1
unfortunately 1
unless 1
unrest 3
up 1
upon 1
very 1
via 1
victorian 1
view 1
war 1
warships 1
was 5
watching 1
well 1
were 1
westward 1
what 1
when 2
which 6
while 1
whose 1
wide 2
wife 1
with 11
within 1
without 1
would 1
years 2
young 1
