13708017
/m/03cfrtt
/m/03cfrtt
Scott Westerfeld
1997-12-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 5
absolutely 1
again 1
alias 1
ally 1
an 1
and 3
anonymously 1
another 1
attachments 1
attempting 1
be 1
believes 1
body 1
brief 1
by 2
casual 1
danger 1
determine 1
different 1
each 1
employed 1
encounter 1
enjoying 1
finds 1
future 1
have 1
her 4
herself 3
hostile 1
however 1
in 4
industrialist 1
investigation 1
involves 1
is 1
it 1
last 1
leads 1
living 1
malicious 1
man 1
meets 1
milica 1
more 1
much 1
necessary 1
new 1
newcomer 1
night 2
no 1
normally 1
not 1
objective 1
of 1
older 1
one 1
onenight 1
or 1
out 2
partying 1
personal 1
place 1
polymorph 2
powerful 1
principal 1
process 1
protagonist 1
raznakovic 1
reaching 1
recessionhit 1
seek 1
sex 1
shapechanger 1
she 5
somehow 1
sought 1
spends 1
stand 1
than 1
the 5
time 1
to 5
ultimately 1
unique 1
wealthy 1
which 1
would 1
york 1
young 1
