23454753
/m/0lz9s
/m/0lz9s
George Orwell
1949
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c082": "Utopian and dystopian fiction", "/m/06m9m8": "Social science fiction"}
101 2
120s 1
13 1
184 1
225 1
34blissful 1
34stubborn 1
34the 1
a 40
about 7
absolute 1
acceptance 2
accepting 1
achieved 1
adaptation 1
additionally 1
admiration 1
admits 3
affair 2
africa 1
after 5
afterwards 2
against 1
agent 1
agrees 1
airstrip 1
alcoholic 1
alcove 1
all 4
alongside 1
also 2
alters 1
altruistic 1
an 12
and 54
announces 1
another 1
antiques 1
antisex 1
any 1
anyone 2
apparent 2
apparently 1
approach 1
approaches 1
are 6
area 1
arushing 1
as 11
asked 1
assertion 1
assists 1
assumed 1
assumption 1
at 13
atomic 1
atop 1
attract 1
austere 1
awakens 1
aware 1
awareness 1
away 1
baldly 1
be 4
beatings 1
because 3
becomes 1
bedroom 2
been 2
before 1
begin 1
begins 1
being 1
belfry 1
believed 1
believes 2
beside 1
betrayed 4
betraying 2
between 1
big 4
black 1
bones 1
book 2
bread 1
britain 1
brother 4
brotherhood 3
bulletin 1
but 3
by 9
cafe 1
cage 1
cameras 1
campfire 1
can 2
cannot 1
cant 2
capture 1
care 2
cautiously 1
celebration 1
cell 2
challenges 1
change34 1
charrington 1
chestnut 2
children 1
church 1
civil 2
class 1
clearing 1
climax 1
collectivism 1
commit 1
communication 1
complete 1
completed 1
complex 1
comrade 1
concept 1
concording 1
confesses 1
confession 1
consequent 1
control 1
controlled 1
conversations 1
copy 1
could 1
counterrevolutionary 1
counters 1
country 1
covertly 1
crimes 2
cure 1
damn 1
dark 1
day 1
death 3
decisive 1
deleted 1
deliver 1
demands 1
desk 1
despite 1
destroy 1
devices 1
dictionary 1
did 2
didnt 1
diet 1
disappeared 1
dislike 1
do 5
doctrine 1
documents 1
does 2
dont 4
down 2
draining 1
dream34 1
during 2
each 2
echoed 1
edition 1
editor 1
eg 1
electroshock 1
else 1
emmanuel 1
employment 1
encounters 1
end 1
endanger 1
ending 1
endured 1
engages 1
england 2
english 1
enjoying 1
entail 1
especially 1
eurasia 1
even 1
everchanging 1
every 1
everyone 2
executed 1
exile34 1
existence 1
exists 1
explained 1
explains 2
face 2
fallen 1
false 3
fanatical 2
fantasizes 1
fascinated 1
fear 2
feared 1
feel 2
feelings 1
feels 1
final 2
fingers 1
first 2
fitted 1
flag 1
flat 2
folded 1
for 8
forced 1
former 1
freedom 1
from 2
full 1
gave 1
gin 1
give 1
gives 1
giving 1
glenn 1
global 1
go 1
goldstein 1
good 1
government 1
greater 1
grew 1
had 5
haired 1
hands 1
happen 1
happens 1
happily 1
has 7
hates 1
hatred 1
have 2
he 30
healing 1
held 1
her 12
hidden 1
him 7
himself 6
his 19
historical 2
holding 1
hole 1
hostility 1
how 2
hungry 1
i 5
identify 1
ie 2
if 2
ignorance 1
ii 1
illicit 1
imagines 1
implicating 1
imprisonment 2
in 33
incinerated 1
including 1
increasingly 1
indeed 1
indispensable 1
indoctrinated 1
infamous 1
inform 1
informers 1
ingsoc 1
inner 2
inquisitor 1
insanity 1
intellectual 3
interrogation 3
into 2
invoked 1
is 25
isnt 1
it 16
journal 2
julia 18
junior 1
just 2
keeper 1
keeps 1
kill 1
know 1
last 1
later 2
latest 1
leader 2
league 1
learn 1
learning 1
life 1
little 1
lives 2
loathed 2
london 2
long 2
longer 1
look 1
looks 1
love 10
loves 1
loving 1
loyal 1
luring 1
lyrics 1
machines 1
make 1
makes 1
making 1
manifest 1
manipulation 1
me 2
meals 1
mean 2
meanings 1
means 1
meant 1
mechanic 1
meeting 1
member 2
members 1
membership 1
memories 1
memory 1
message 2
microphones 1
middle 1
might 2
miller 1
mind 4
mindlessly 1
miniluv 1
ministry 3
minitrue 3
mocking 1
moment 2
more 3
most 3
motivation 1
much 1
my 1
negative 1
neighbourhood 1
never 1
news 1
newspeak 1
night 1
no 4
nonetheless 1
not 6
note 1
novelwriting 1
now 4
number 1
obrien 8
occasion 1
oceania 3
oceania3s 1
of 57
offers 1
officer 1
official 1
oligarchical 1
omniscient 1
on 3
one 5
oneroom 1
