9807293
/m/02pstdf
/m/02pstdf
Pamela Aidan
2005
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
a 14
acceptance 1
accepts 2
accompanies 1
accumulated 1
acting 1
actions 1
actually 1
affair 1
after 6
again 1
agent 1
agree 1
ahead 1
all 1
also 3
an 6
and 50
anger 1
angry 1
anne 1
any 1
approached 1
are 5
area 1
aristocrat 1
army 1
arrives 1
arrogant 2
as 1
assuring 1
astonished 1
at 6
attempted 2
attempting 1
aunt 3
away 1
be 3
been 3
before 2
begins 1
behaviour 1
behind 1
being 2
belief 2
believes 1
bennet 6
bennets 1
between 2
bingley 9
blackmail 2
board 1
both 1
bourgh 2
break 1
bribe 1
brougham 3
bully 1
but 4
buying 1
by 10
calamity 1
castle 2
catherine 3
change 1
changed 1
character 1
charles 1
charlotte 1
charms 1
clarity 1
clergyman 1
close 1
cold 1
collins 1
colonel 3
comfortable 1
commission 1
company 2
condition 1
conduct 2
confesses 1
confessing 2
consideration 1
contacts 1
convinced 1
could 1
cousin 2
criticising 1
criticisms 2
culminating 1
daily 1
darcy 30
daughter 1
de 2
death 1
debts 2
decided 1
decides 1
delighted 1
demimonde 1
depth 1
derbyshire 1
desire 2
despite 1
determined 1
determines 1
developing 1
disdainful 1
dislike 1
distraction 2
driven 2
drug 1
drunk 1
during 1
dyfed 1
each 1
eager 1
effect 1
effort 1
either 1
elated 1
elizabeth 22
eloped 1
engaged 1
engagement 1
enter 1
entire 1
erratic 1
estate 2
events 2
ever 1
example 1
experiences 1
explaining 1
failing 1
false 1
fashion 1
faults 1
feel 1
feelings 2
finally 2
find 2
finds 2
fitzwilliam 4
fleeing 1
follow 1
following 1
foppish 1
for 9
forced 1
forever 1
forget 1
forgives 1
frequent 1
friend 3
friends 1
friendship 1
from 4
funding 1
further 1
furthermore 1
future 2
gambling 1
gardiner 1
gardiners 3
gentleman 2
genuinely 1
george 2
georgiana 4
get 1
girl 1
good 3
government 1
greatly 1
grieved 1
grounds 1
guarded 1
guiltily 1
happily 1
has 10
have 4
having 2
he 13
heard 1
hearing 1
heartbroken 1
held 1
help 1
her 23
highhanded 1
him 12
himself 4
his 38
history 1
holds 1
home 3
however 4
hungover 1
ideas 1
improve 1
in 15
including 1
increasingly 1
instant 1
insulted 1
intends 1
into 7
introducing 1
investigating 1
invitation 1
invites 1
irish 1
is 22
its 1
jane 5
jealousy 1
judgement 1
just 1
justify 1
keeping 1
kept 1
lady 4
last 2
leads 1
leave 1
leaves 1
led 1
letter 1
lies 1
likes 1
liking 1
links 1
london 4
longer 1
lord 1
lost 2
love 2
lowly 1
lydia 4
make 2
makes 2
man 1
manner 2
many 1
marriage 1
married 3
marry 2
marrying 1
matter 3
meeting 1
mending 1
merely 1
might 1
militia 1
mind 2
misguided 1
misunderstanding 1
moment 1
monmouth 1
more 1
morning 1
mortified 1
mother 2
mr 2
mrs 1
much 2
nearby 1
nemesis 1
netherfield 2
never 1
new 1
news 1
next 1
no 1
none 1
nonetheless 1
norwycke 2
not 3
obscure 1
of 21
officers 1
on 5
once 3
only 2
operations 1
or 1
other 3
others 1
out 1
outraged 1
over 1
own 3
pain 1
park 1
party 2
pemberley 1
persuade 1
persuading 1
plan 1
poetry 1
poisoned 1
pompous 3
possible 2
potentially 1
prevailed 1
previous 1
proceeds 2
promising 1
property 1
proposal 2
propose 1
proposes 1
prospect 1
purchasing 1
put 1
quickly 2
realize 1
realizes 2
realizing 1
receives 1
refusal 1
refused 1
regard 1
regarding 1
regiment 1
rejected 1
rejection 1
relationship 3
relatives 1
report 1
rescued 1
resigned 1
resist 1
resolves 3
responsible 1
rest 1
return 3
returns 2
reunited 1
revolutionaries 1
richard 1
riding 1
role 3
rosings 2
ruinous 1
secret 1
secretly 1
seduce 1
seeing 1
seemingly 1
selfimpressed 1
separate 1
shattered 1
she 4
shock 1
show 1
shy 1
sickly 1
sincere 1
sister 4
slanderous 1
social 1
soon 4
spending 1
spread 1
standing 1
state 1
status 1
still 2
straightening 1
strength 1
stunned 1
sylvanie 2
sympathizes 1
take 1
taken 1
tavern 1
than 2
that 11
thawing 1
the 35
their 4
then 1
therefore 1
thing 1
this 3
those 1
thrown 1
ties 1
time 2
to 51
tour 1
towards 8
troubling 1
true 1
trusting 1
truth 1
turn 1
two 3
type 1
unable 1
uncharacteristic 1
uncle 1
under 1
unfortunately 1
unit 1
unknown 2
unsubtle 1
unwilling 1
upon 4
upturned 1
uses 1
visited 1
visiting 1
visitors 1
warmer 1
was 1
way 1
ways 2
weighing 1
welcome 1
what 1
when 2
which 2
whilst 1
who 9
whom 1
wickham 9
wife 1
with 12
women 1
world 1
would 1
writes 1
writing 1
younger 1
