5051840
/m/0d0lc7
/m/0d0lc7
Victor Canning

{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
a 3
about 1
alive 2
and 2
archbishop 1
area 2
around 2
been 1
begin 1
blanche 3
boyfriend 1
but 1
by 1
canterbury 1
despite 1
edward 3
elderly 1
for 1
george 1
has 1
he 2
her 3
hold 1
if 1
illegitimate 1
inquiries 1
is 3
julia 1
kidnappings 1
knowing 1
large 2
larger 1
locate 1
lumley 1
madame 1
making 1
meanwhile 1
medium 1
money 1
nephew 1
no 1
of 3
one 1
or 2
organising 1
planning 1
promises 1
pseudonym 1
rainbird 1
ransom 1
score 1
sessions 1
shoebridge 2
shoebridges 1
small 1
spinster 1
sum 1
the 5
their 1
to 1
trader 1
tyler 1
under 2
where 1
whom 1
will 1
