8224148
/m/026wskr
/m/026wskr
Arthur Hailey
1984

40 1
6 1
a 51
abandoned 1
able 1
about 4
acknowledge 1
acquired 1
action 1
actions 1
activities 1
addict 1
administered 1
advises 1
after 4
afterward 2
against 3
ahead 1
all 3
almost 1
already 2
always 2
ambitious 1
amidst 2
among 1
amusement 1
an 5
and 51
andrew 6
annual 1
anticipating 1
antiemetic 1
any 1
anyway 1
appears 3
appoint 2
approach 1
are 3
arranged 1
as 5
assault 2
at 18
attack 1
attempt 1
attempted 1
attention 1
attitude 1
aunt 1
away 1
back 4
bare 1
based 1
be 6
bearing 1
become 3
becomes 2
been 2
before 4
beginning 1
begins 2
behind 1
being 1
benefit 1
best 1
between 1
bigtobacco 1
bill 1
blackmail 1
board 2
book 2
bosses 1
both 2
breakthrough 1
brief 1
bringing 1
british 4
bruce 1
bruising 1
business 1
but 4
buys 1
by 6
calmer 1
cambridge 1
came 1
camperdown 2
care 1
career 1
case 2
celia 24
certain 1
chance 2
characters 2
cheap 1
chief 2
child 1
children 2
circumstances 2
close 1
closes 1
closet 1
cold 1
combat 1
comes 1
commits 1
company 15
concerned 1
concerning 1
conference 1
conscience 1
continue 1
control 1
conversation 1
course 1
cover 1
covering 1
creates 1
danger 1
daughter 1
death 1
deathbed 1
debate 1
decisions 1
deeper 1
deflected 1
delaying 1
delivers 1
dementia 1
desperate 1
destin 1
destroyed 1
determined 1
developed 1
development 1
died 2
dies 1
disaster 1
discovery 2
discredits 1
disdain 1
doctors 1
does 1
donaghue 3
donahue 1
doubtless 1
down 1
dr 3
drug 6
due 1
dune 1
during 1
dying 1
earn 1
earning 1
ecuador 1
effectively 1
eli 2
embark 1
encounter 2
ending 1
ends 1
engaged 2
england 2
enhancing 1
enquiry 2
enriched 1
enthusiasm 1
even 1
eventual 3
eventually 2
exact 1
expense 1
expose 1
faced 1
falsified 1
family 2
fanatic 1
far 1
fatal 1
father 3
fda 2
feared 1
feels 1
felding 3
femme 1
financial 2
find 1
fired 2
first 1
fit 1
flight 1
follow 2
for 12
fraud 1
free 1
french 1
frle 1
from 5
fruit 1
fully 1
gave 1
generally 1
get 3
gets 1
goes 2
going 1
gradual 1
graduate 1
great 7
had 2
happens 1
harbor 1
harvard 1
has 14
have 2
having 3
hawaii 1
hawthorne 2
he 8
head 3
heading 1
heated 1
hepatitis 1
her 20
herself 1
hidden 1
him 5
his 9
histories 1
history 1
holiday 1
home 4
honeymoon 2
hospital 2
how 1
however 1
husband 2
ideas 1
important 1
in 20
include 1
indeed 1
inevitably 3
infection 1
ingram 1
inherit 1
institute 3
intern 1
interspersed 1
intervenes 1
into 3
investigate 1
involving 1
is 28
it 6
jersey 1
job 3
jordan 4
knighthood 1
know 2
knowledgeable 1
known 1
knows 2
lack 2
largely 1
last 1
later 2
learn 1
least 2
left 1
legal 2
let 1
licensing 1
life 2
line 1
lisa 1
little 1
lobby 1
longer 1
look 1
lord 5
loss 1
love 1
mace 2
made 1
major 1
make 2
makes 2
manager 1
manages 2
many 2
marketing 1
marriage 2
martin 7
matter 1
meanwhile 2
measure 1
meet 2
memory 2
mexico 1
misgivings 1
montayne 4
months 1
more 1
morning 2
mother 2
much 3
name 1
new 4
news 1
next 1
no 2
nonsense 1
not 3
now 2
of 37
offers 1
official 1
on 20
one 7
only 1
opening 1
ordered 1
organisational 1
originally 1
other 3
out 4
over 1
overlooked 1
own 1
particularly 1
partly 1
patient 1
pearl 1
peat 2
people 1
peptide 1
perplexed 1
persuade 1
pharmaceutical 1
planning 1
point 1
politician 1
pool 1
position 2
possibly 2
post 1
posting 1
practice 1
practising 1
pregnancy 1
present 1
president 5
pressure 1
preventable 1
prior 1
pro 1
progress 1
project 4
promise 1
promoted 3
prospective 1
protocols 1
publicly 1
quenching 1
quickly 3
radical 1
rather 3
reaching 1
reader 1
reasons 1
recalled 1
recalling 2
recommendation 1
recommends 1
recounting 1
refuse 1
refuses 1
relationship 1
release 1
remains 1
remark 1
rep 1
reprieve 1
rescue 1
research 4
researcher 1
researching 2
resigning 1
respect 1
responsible 1
result 1
return 1
revealed 1
revenge 1
ridicule 1
rife 1
rise 2
roth 3
round 1
running 1
sacrificed 1
sales 1
sam 9
same 2
save 1
saved 2
school 1
scientist 1
secret 1
secretly 1
sees 2
selling 1
senate 2
senator 3
sense 2
sent 1
separated 1
separation 1
serious 1
set 1
severe 1
share 1
sharp 1
she 19
ship 1
short 1
shortly 2
similar 1
sites 1
slip 1
smith 2
some 4
somehow 1
someone 1
soon 1
speak 1
speech 1
spent 1
spurred 1
standards 1
stirring 1
story 2
strains 1
strikes 1
strongly 1
success 1
such 1
suicide 2
surface 1
survived 1
symptoms 1
takes 1
talent 1
talents 1
talks 1
tap 1
teamas 1
technicians 1
tem 1
thalidomide 1
than 2
that 18
the 80
their 3
them 1
then 4
thenpregnant 1
there 2
they 3
thing 1
this 3
though 1
through 3
time 5
to 48
took 1
top 1
total 1
tour 1
track 1
training 1
triggers 1
trouble 5
turning 1
turns 2
two 5
twofaced 1
typically 1
ultimately 2
understands 1
unfortunately 1
unit 3
unmarried 1
unquestionably 1
up 6
urges 1
urging 1
us 2
use 1
usually 1
various 2
very 2
vice 1
vincent 2
visit 3
visits 1
vulnerabilities 1
wants 1
was 2
waters 1
way 1
we 2
well 1
what 3
when 5
where 4
whereupon 1
which 4
whim 2
whisker 1
who 12
wish 1
with 7
within 1
woman 3
womans 1
work 2
world 1
worlds 1
would 1
years 5
yet 1
young 2
yvonne 3
