9648490
/m/02pn1rp
/m/02pn1rp
Lee Child
2000-07-13
a 18
about 3
academy 1
access 1
accompany 1
address 1
after 1
agent 2
agents 1
agree 1
agreement 1
all 1
already 1
also 2
an 5
and 27
any 1
anything 1
are 1
area 1
army 1
armyissue 1
arranges 1
arrives 1
as 1
asks 1
at 5
back 1
bathtub 1
be 2
beat 2
beating 2
been 3
before 1
beginning 1
begins 1
big 1
blackmail 1
both 1
breaking 1
bruises 1
but 3
buy 1
by 2
called 1
camouflage 1
case 1
cases 1
catch 1
city 1
clearance 1
collect 1
collecting 1
colonel 3
come 2
completes 1
comply 1
conclusion 2
confronting 1
contacting 1
continue 1
cooperate 1
could 1
crime 2
criminal 1
criminals 1
dealt 1
deliberately 1
different 1
discussing 1
dix 1
doesnt 1
down 1
drive 1
drives 1
dry 1
due 1
during 1
duty 1
each 1
eating 1
effectively 1
ethnic 1
eventually 1
exactly 1
explains 1
exsoldier 1
favour 1
fbi 6
few 1
fifth 1
filed 1
filled 1
first 1
for 7
fort 1
four 1
from 6
further 1
future 1
gain 1
game 1
gang 1
garber 1
garberjacob 1
get 2
girlfriend 1
go 2
goes 1
harassment 1
harassmentalbeit 1
hard 1
harper 6
has 4
have 2
he 18
head 1
help 1
helps 1
her 10
him 5
his 2
hold 1
home 1
hour 1
house 1
hypnotising 1
if 2
implies 1
in 14
information 1
inheritance 1
inherited 1
injuries 1
interrupt 1
investigation 1
is 17
it 1
jersey 1
jodi 1
jodie 4
john 1
killed 4
killer 2
killing 5
kind 1
knew 1
knowledge 5
knows 1
lamarr 6
last 2
later 1
lead 1
leaving 2
leon 1
let 1
leverage 1
like 1
lisa 1
list 1
local 1
london 1
loner 1
lottery 1
made 1
make 1
making 1
market 1
may 1
meetings 1
meets 2
member 1
members 2
mo 1
mobs 1
money 2
month 2
months 1
more 2
motive 1
mp 1
mustered 1
mystery 1
naked 1
neck 1
new 6
next 1
no 1
not 2
numbers 1
nyc 1
objective 1
oblivious 1
of 12
office 1
on 8
one 2
only 1
opens 1
or 4
order 1
orders 1
organization 1
other 2
out 3
outside 1
owes 1
own 1
paint 2
pair 1
particulars 1
people 2
percentage 1
person 2
petrosian 1
picked 1
point 1
policemen 1
power 3
predict 1
previously 1
process 1
profiler 1
profiling 1
prologue 1
prosecute 1
protection 2
punches 1
put 1
quantico 2
questioned 3
questioning 1
racket 1
random 1
reacher 22
real 1
reasons 1
refusesup 1
remaining 1
remains 1
removing 1
responsible 1
restaurant 1
returns 2
reveal 1
revealed 1
reveals 3
rich 1
rival 1
run 1
same 4
say 1
saying 1
screen 1
search 1
security 1
sell 1
sent 1
several 1
sexual 2
she 3
since 1
smoke 1
sneak 1
someone 1
soon 1
special 1
spend 1
sports 1
start 1
stepsister 3
stick 1
stock 1
store 1
story 3
suffocate 1
suggests 1
suppose 1
talking 2
targets 1
team 5
techniques 1
telling 1
than 1
that 10
the 54
their 5
them 4
themselves 1
then 5
they 3
third 1
this 1
threatening 1
threatens 1
three 1
throat 1
thugs 2
time 2
timeframe 1
tip 1
to 21
together 1
tongue 1
trace 1
trend 1
trent 1
trip 1
try 1
turning 1
two 8
unhappy 1
unknown 1
until 1
up 7
upon 1
upstate 1
utilising 1
victim 2
victims 3
view 1
virginia 1
want 1
was 5
way 1
were 1
when 2
wherever 1
which 4
while 2
whisper 1
who 4
whose 1
will 1
win 1
window 1
winning 1
with 11
woman 2
women 3
work 1
working 1
would 3
york 4
you 5
youd 3
youre 2
