2022490
/m/06fsfc
/m/06fsfc
David Mamet

a 10
absence 1
actually 1
admitted 1
admonishes 1
after 1
an 1
and 11
anger 1
another 1
appear 1
appears 1
are 1
asked 1
at 1
attempts 1
away 1
be 1
because 1
been 1
before 1
bob 9
but 3
by 2
call 1
calls 2
can 1
caper 1
car 1
carried 1
coin 2
collection 2
comes 1
concerns 1
confirms 1
conspiring 1
correct 1
corroborating 1
didnt 1
disloyalty 1
does 1
don 9
evasive 1
excuse 1
experienced 1
explains 1
feels 1
fletcher 6
for 3
friend 2
from 4
get 1
gofer 1
going 1
got 1
has 1
he 6
head 1
him 3
himself 1
his 2
hospital 5
in 5
inexperience 1
is 8
it 1
job 1
junk 1
know 1
later 1
less 1
man 3
men 1
metal 1
misanthropic 1
much 1
mugged 1
naming 1
nickel 3
night 1
not 2
now 1
object 1
of 5
on 1
one 1
orders 1
out 2
owns 1
persuades 1
place 1
plan 1
play 2
potential 1
rare 1
referred 1
release 1
revenge 1
right 1
saying 1
sell 1
shop 1
shortly 1
similar 1
so 1
sold 2
steal 2
store 2
story 1
strikes 1
sure 1
suspecting 1
take 1
teach 5
team 1
than 1
that 4
the 15
theirs 1
them 1
thereafter 1
they 1
this 1
time 1
to 12
trick 1
trying 1
using 1
was 2
wealthy 1
weekend 1
went 2
what 2
when 2
where 1
which 2
who 3
with 1
worth 1
wounding 1
young 1
