474370
/m/02dx08
/m/02dx08
Anton Chekhov

a 31
abandoned 1
about 5
accepted 1
achieved 1
act 6
actress 5
acts 1
after 7
afternoon 1
again 1
against 1
agrees 1
all 1
also 1
although 1
am 1
an 8
and 37
another 1
any 1
anything 1
appears 1
approaching 1
argument 3
arkadina 13
arrived 1
arrives 1
as 5
aside 1
asks 3
at 9
attempt 1
attempted 1
away 2
back 2
bandage 1
bandaged 1
be 2
become 1
been 1
before 2
begging 1
behind 2
between 2
bingo 2
blames 1
books 1
boredom 1
breakfast 1
brief 2
brother 1
bullet 1
but 6
by 5
cajoles 1
calls 1
can 1
celebrity 1
chance 2
change 1
changed 1
characters 2
child 2
civil 1
collapses 1
come 2
comes 1
company 1
compare 1
concerned 1
confidence 1
confused 1
continue 1
continued 1
converted 1
could 1
country 1
creating 1
currently 1
daughter 1
day 1
days 2
death 1
decided 1
decides 1
dense 1
depart 1
depressed 1
desk 1
despondent 1
destroys 1
deteriorate 1
devotion 1
dinner 1
directed 1
disarray 1
discuss 1
disparages 1
doctor 1
does 3
doing 1
door 1
dorn 4
drama 1
drawing 2
dream 1
during 1
easy 2
eat 1
eating 1
either 1
embraces 1
ends 1
engages 1
enters 1
enthralled 1
estate 8
ever 1
everybody 1
failing 2
famous 1
far 1
features 1
feel 1
feelings 1
few 1
final 2
finally 1
find 1
finding 1
finds 1
fit 1
flatters 1
followed 1
for 10
forced 1
form 1
found 1
free 1
from 2
future 1
game 2
gather 1
get 1
gift 1
girl 1
give 1
go 1
goes 1
goodbye 1
grazed 1
grief 1
group 4
guests 1
gunshot 1
gushes 1
had 2
happened 1
happier 1
happy 1
has 13
have 5
he 16
head 1
health 3
hears 1
heated 1
heavily 1
helped 1
helplessly 1
her 15
herself 1
him 7
himself 2
his 12
horrified 1
house 1
how 1
humiliation 1
i 2
if 2
ii 2
iii 2
immediately 2
in 20
incomprehensible 1
increasingly 1
inform 1
inside 2
investigate 1
invites 1
is 18
it 4
iv 1
jealous 1
join 1
just 2
killed 2
kindly 1
kiss 1
knows 1
konstantin 21
lake 3
last 2
later 2
latest 1
laughs 1
leave 1
leaves 8
leaving 2
left 1
life 5
like 3
line 1
lingers 2
lived 1
lives 2
longing 1
love 3
lover 1
loves 2
majority 1
make 1
making 1
man 1
manuscript 1
manuscripts 1
marriage 1
masha 5
means 1
medallion 1
medvedenko 3
meet 1
mind 1
minutes 1
modesty 1
more 1
moscow 3
most 1
mother 1
much 1
muses 1
my 2
need 1
neighboring 1
never 1
new 1
newfound 1
nina 14
not 7
nothing 1
nurses 1
of 13
off 2
offstage 1
old 1
on 7
one 4
only 1
others 1
out 1
outdoor 1
outside 1
over 1
own 1
owned 1
packing 1
parents 1
passed 1
passionately 1
people 1
performance 1
physician 1
place 4
plans 1
play 7
playwithinaplay 1
pleading 1
pleads 1
praises 1
presents 1
proclaims 1
proposal 1
provinces 1
published 1
real 1
reenters 2
rejects 1
reminiscing 1
replies 1
resembles 1
retired 1
retreats 1
return 2
returns 2
ridicule 1
ridiculous 1
romantic 2
room 2
running 1
say 1
says 2
scalp 1
schoolteacher 1
seagull 6
secondrate 1
see 2
seem 1
seems 1
sees 3
senior 1
servant 1
sets 1
shamrayev 1
she 19
sheer 1
shooting 1
shore 1
short 2
shot 2
shows 1
silently 1
skull 1
small 1
some 1
somehow 1
someone 1
son 2
sorin 6
soul 1
spends 3
stage 1
starts 1
stay 2
steward 2
still 1
stories 1
storms 1
story 1
study 2
subject 1
success 1
such 1
sudden 1
suicide 1
surprised 1
symbolist 1
take 1
takes 5
tearing 1
tears 1
telegraphed 1
tell 1
tells 5
than 1
that 14
the 53
theatre 2
theatrical 1
them 1
then 1
there 3
they 4
this 3
though 1
time 3
times 1
to 33
together 2
tour 2
treplyov 2
triangles 1
trigorin 19
turn 1
two 4
unconventional 1
unrequited 1
until 2
up 3
use 1
using 1
vacation 1
various 2
wants 1
was 1
way 1
went 1
what 1
when 4
which 1
who 4
whom 1
whose 1
will 1
winter 1
wishes 1
with 10
woman 1
work 1
working 1
world 2
writer 2
written 1
years 3
you 1
young 2
