1703709
/m/05pr65
/m/05pr65
John Grisham
2001-02-06
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
a 16
additional 1
admired 1
admit 1
adults 2
advertised 1
afternoons 1
again 1
aggressive 1
allows 1
also 2
although 1
an 1
and 17
announce 1
annual 1
annually 1
anyone 1
approval 1
are 3
area 1
around 1
arrogantly 1
as 4
aside 1
assistance 1
at 1
attack 1
backs 1
baseball 1
beaten 1
been 2
before 1
begins 1
biscuits 1
bits 1
body 1
book 1
boy 2
boys 1
breakfast 1
breaking 1
broadcast 1
buick 1
bus 1
buy 1
by 1
can 1
caray 1
carnival 1
catalog 1
chandler 1
changes 1
child 1
church 1
city 1
clapboards 1
coffee 1
color 1
come 1
community 1
completed 1
concerns 1
consider 1
continues 1
contributing 1
cotton 2
cottonfarming 1
cowboy 3
crop 1
cup 1
daughter 2
day 2
decide 1
descriptive 1
devastates 1
devoted 1
dies 1
discovers 1
dramatic 1
eggs 1
eli 1
end 1
ends 1
enter 1
evening 1
event 1
events 1
eventually 1
fairly 1
family 5
fan 1
fathered 1
fearful 1
few 1
fields 2
fighting 1
fill 1
finally 1
find 1
flood 1
for 4
friendly 1
frightened 1
from 3
front 1
furtively 1
game 1
games 1
gathers 1
generations 1
gossip 1
got 1
gradual 1
grandfather 1
grisham 1
ham 1
hank 3
hard 1
hardearned 1
harry 1
harvest 1
has 2
have 1
having 1
he 7
hearty 1
help 1
her 1
hill 1
him 1
hire 1
his 13
history 1
hot 1
hours 1
house 3
identifies 1
idle 1
idyllic 1
if 1
in 11
including 1
initially 1
into 1
introduction 1
is 6
jacket 1
job 1
kill 1
known 1
korean 1
land 1
latchers 1
later 1
learns 1
leave 1
life 3
listen 1
live 1
lives 1
local 2
long 1
looking 1
louis 1
lower 1
lucky 1
luke 13
may 1
mentally 1
mexican 1
mexicans 2
migrant 2
moments 1
money 1
morning 1
mother 3
movie 1
murder 1
neighbors 1
never 1
new 1
not 1
notorious 1
novel 1
of 17
off 1
on 3
one 4
ordinary 1
overly 1
own 1
paint 1
painted 1
painting 1
pappy 1
parents 2
passages 1
people 1
phase 1
picking 1
picnic 1
plant 1
porch 1
povertystricken 1
powers 1
preceded 1
prepare 1
purchase 1
radio 1
refers 1
reserved 1
rewarded 1
ricky 1
river 1
roebuck 1
routine 1
run 1
rural 1
saturday 1
saving 1
savings 1
saw 2
scattered 1
search 1
sears 1
see 1
seen 1
sees 2
series 1
serious 1
severely 1
share 1
sharecropping 1
sheriff 1
sign 1
sisco 1
smiling 1
so 1
social 1
some 1
someone 1
south 1
spent 1
spruill 1
spruills 2
st 1
status 1
stick 1
story 2
sun 1
sunday 1
support 1
surrounds 1
suspect 1
symbolizes 1
tale 1
tally 1
team 1
teenage 1
television 1
tells 1
that 2
the 50
their 3
them 1
themselves 1
then 1
these 1
they 2
threatens 1
three 1
throughout 1
title 1
to 17
together 1
too 1
toss 1
town 2
transformation 1
travel 1
truth 1
uncle 1
under 1
unfold 1
unstable 1
until 1
up 1
version 1
visit 1
visiting 1
war 1
warmup 1
weatherbeaten 1
weekly 1
what 1
when 1
where 2
which 1
while 1
white 1
who 2
whom 1
wish 1
with 6
witness 1
work 3
workers 2
working 2
world 1
wounds 1
youngsters 1
