21703013
/m/05mz2w_
/m/05mz2w_
Bruce Marshall
1965
a 4
after 1
america 1
american 1
and 1
at 1
attend 1
be 1
boiling 1
but 1
by 1
conference 1
congress 1
convened 1
dictatorship 1
earned 1
ecumenical 1
el 1
escapades 1
father 2
franciscan 1
friar 1
generalissimo 1
hilary 2
his 1
holiday 1
humble 1
in 3
is 2
latin 1
libertator 1
maelstrom 1
mythical 1
of 4
opportunity 1
outspoken 1
pointed 1
priesthood 1
religious 1
result 1
seizes 1
sort 1
south 1
spent 1
tale 1
the 5
thirty 1
to 2
tomasia 1
well 1
witty 1
wondrous 1
years 1
