10838021
/m/02qrldg
/m/02qrldg
Adam Roberts
2004-03
a 8
affair 1
after 1
alien 1
all 1
america 1
an 3
and 5
arranged 1
as 1
begins 1
both 1
building 1
buildings 1
bury 1
by 4
cached 1
called 2
camp 1
captured 1
caused 1
chair 1
chooses 1
city 2
dies 1
encounters 1
eventually 1
falling 1
food 2
former 1
has 2
have 1
her 1
heroine 1
highest 1
highrise 1
in 3
initially 1
is 4
it 2
later 1
liberty 1
living 1
london 1
londoner 1
man 1
marriage 1
medium 1
meets 1
middle 1
military 1
miners 2
move 1
natural 1
new 2
now 1
nusa 1
of 6
off 2
office 1
on 1
once 1
police 1
race 1
rescued 1
several 1
she 4
sheltering 1
snow 4
snowfall 1
states 1
staying 1
story 1
suggested 1
supplies 1
surface 1
survive 1
survives 1
take 1
taken 1
terrorist 1
that 1
the 16
their 1
then 1
there 2
they 2
through 1
tira 2
to 3
underground 1
united 1
who 2
with 3
worker 2
