972543
/m/03vm7z
/m/03vm7z
Joanna Russ
1975
3 1
40year 1
800 1
a 23
about 2
absence 1
accompany 1
acting 1
admires 1
after 1
against 3
ago 1
agree 1
agrees 1
all 6
am 2
an 1
and 28
annoyed 1
another 1
appear 1
appears 2
are 6
arrived 1
arrives 1
as 12
assassin 1
assembled 1
assimilate 2
at 7
attention 1
attracted 1
awake 1
back 2
bases 1
be 3
bear 1
because 6
become 1
beginning 1
begins 3
believe 1
believes 2
between 2
both 2
brothers 1
brought 1
bureau 1
but 8
by 1
cal 1
calls 1
child 1
chinese 1
chose 1
comes 2
comparative 1
concentrates 1
confidence 1
counterparts 1
create 1
crossgenerational 1
dadiers 1
dates 1
daughter 1
deal 1
decides 1
depression 1
desire 1
different 1
dissatisfied 1
does 1
doubt 1
down 2
each 2
empower 1
end 2
ends 1
enemy 1
enough 1
equality 1
essentially 1
ethnology 1
evason 1
eventually 1
everyone 1
excited 1
expendable 1
experience 1
experienced 1
experiencing 1
explains 3
explorer 1
expresses 1
family 1
female 1
feminist 1
festival 1
few 1
finally 1
finds 5
first 1
follows 1
for 5
four 1
from 2
futuristic 1
gender 2
get 1
given 1
glorify 1
go 1
goes 1
going 1
great 1
guide 1
harasses 1
has 1
have 2
having 1
he 2
help 1
her 21
herself 4
him 2
home 1
house 4
household 1
how 1
i 1
identity 1
in 12
independence 1
individuals 1
inferior 1
inferiority 1
instantly 1
intentions 1
interact 1
interdimensional 1
into 3
is 11
its 2
jael 8
jaels 2
janet 19
janets 4
jeannine 12
jeannines 1
joanna 11
joannas 2
killed 2
kills 1
knocks 1
knowing 1
laura 6
lauras 1
leader 1
leaders 1
life 3
lives 1
living 1
longer 1
lounging 1
love 1
male 4
man 2
mans 1
married 1
marry 1
meet 1
meets 1
men 7
metaphor 1
mocks 1
more 1
mother 1
moved 1
movement 1
negotiating 1
never 1
new 2
no 1
not 3
novel 3
object 1
of 17
old 2
on 5
one 2
oppressive 1
or 1
organization 1
other 4
others 1
over 1
overall 1
overthrow 1
pacifism 1
parallel 1
parent 1
particularly 1
party 1
past 1
peoples 1
perspective 1
pesters 1
plague 2
pnbsp162 1
promoting 1
pursue 1
quickly 2
reality 1
realizes 2
reason 1
refuses 2
relationship 2
relationships 2
resistance 1
returning 1
returns 1
reveals 2
rise 1
role 1
roles 2
rose 1
ruthless 1
same 1
samesex 1
scrutiny 1
sense 1
separating 1
sexual 1
she 12
shocked 1
show 1
shuttles 1
sleep 1
so 2
societies 1
society 1
soldiers 1
some 1
someone 1
soon 2
status 1
stay 1
still 2
story 1
strong 1
stronger 1
stupid 1
suddenly 2
taboo 2
takes 4
tells 2
territory 1
than 1
that 11
the 31
their 6
them 4
then 1
they 5
this 1
timeline 1
to 28
together 1
transgressive 1
trapped 1
tries 1
two 1
typical 1
unable 1
under 1
up 1
uses 1
vacation 1
value 1
various 1
versions 1
vittoria 2
wants 2
war 2
was 1
well 1
when 2
where 1
whether 1
which 1
whileaway 6
who 2
why 1
wife 1
wildings 1
with 10
without 1
woman 4
women 11
womens 1
won 1
works 1
world 13
worlds 5
year 1
years 1
your 1
