4806475
/m/0cp2dy
/m/0cp2dy
Lionel Shriver
2003-04-14
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
18 1
a 16
accident 1
act 1
actions 1
activity 1
acts 1
admits 1
adversarial 1
affection 1
after 2
age 1
also 2
although 1
an 4
and 17
anniversary 1
another 1
antagonized 1
any 1
archery 1
are 2
arm 1
around 1
arrow 1
as 4
asks 2
at 1
attack 1
attacked 1
babysitting 1
be 1
because 2
becomes 1
before 4
behavior 2
believed 1
believes 1
between 1
blockage 1
bond 1
book 1
both 1
bow 1
boy 1
broke 1
bury 1
by 2
can 1
causes 1
caustic 1
celia 7
children 1
cleaner 3
cleaning 1
clear 1
closely 2
cold 1
committed 1
community 1
conceived 1
conception 1
concerning 1
condition 1
contempt 1
convinced 1
creates 1
custody 1
days 1
deadkevin 1
defensive 1
denying 1
destroying 1
details 1
did 1
discussing 1
displays 1
divorce 2
does 1
drain 2
during 1
earlier 1
early 1
eczemaaffected 1
elephant 1
embrace 1
encouraging 1
ends 1
engages 1
estranged 1
eva 13
events 2
evermore 1
everyone 1
everything 1
explanation 1
explanations 1
eye 4
face 2
fact 1
family 2
father 1
final 1
finally 1
first 1
fit 1
followed 1
for 5
form 1
franklin 8
frightened 1
from 2
get 1
girl 1
giving 1
got 1
gouge 1
gun 1
has 2
hatred 1
he 14
heals 1
healthy 1
her 15
him 4
his 9
household 1
husband 2
imagination 1
in 11
incident 1
indeed 1
ink 1
innocent 1
introduces 1
involved 1
involving 1
is 10
it 2
keep 1
kevin 13
killed 1
largely 1
lashed 1
leading 1
left 2
letters 2
life 1
like 1
linked 1
liquid 2
little 1
loathing 1
long 1
longer 1
lose 1
loves 1
loving 1
makes 1
many 1
maps 1
massacre 5
member 1
moral 1
mostly 1
mother 3
murders 1
narration 1
need 1
never 2
no 2
normal 1
novel 2
number 1
of 14
offering 1
old 1
on 2
one 1
onto 1
or 3
out 1
over 1
overheard 1
painstakingly 1
part 1
peace 1
pet 1
petty 1
plaskett 1
plays 1
pleasure 1
plumr 2
portray 1
possible 1
possibly 1
poured 1
presumably 1
prison 1
prosthetic 1
proven 1
rage 1
rare 1
reach 1
reader 1
really 1
reasonable 1
reference 1
regard 1
relating 1
relationship 3
remember 1
replies 1
resembles 1
reserves 1
resolves 1
respectful 1
responsibility 1
reveals 1
rift 1
room 1
sabotage 1
scarring 1
scenes 1
school 2
second 1
secret 1
seemingly 1
seems 1
sees 1
set 1
she 7
shortly 1
shows 1
shrew 1
sing 2
sink 1
sister 2
sitting 1
six 1
skin 1
sociopath 1
somehow 1
something 1
son 4
sorry 1
sorts 1
sparse 1
special 1
speculates 1
spraying 1
squirt 1
still 1
story 1
strongly 1
subdued 1
such 1
sudden 1
sure 1
takes 2
telling 2
that 14
the 21
their 3
them 1
there 1
these 3
they 1
this 4
though 1
thoughts 1
three 1
through 1
throughout 1
thus 1
time 2
to 20
towards 1
transferred 1
tried 1
turn 1
two 1
up 3
uses 1
using 1
victory 1
visiting 1
wallpapered 1
was 2
weapons 1
well 1
when 3
whenever 1
which 3
who 1
whom 1
why 1
will 1
with 6
within 1
worsens 1
would 1
written 1
years 1
