3450117
/m/09d1_z
/m/09d1_z
Thomas Dekker

1635 1
a 6
abandoned 1
act 1
affair 1
after 1
again 2
aided 1
albeit 1
all 2
also 1
an 3
and 10
anger 2
announces 2
appears 2
apprentice 1
are 1
arouse 1
asks 1
assault 1
assents 1
at 4
attempts 1
be 2
been 2
before 1
bellafront 2
beloved 2
bethlem 3
but 1
calmly 1
candido 1
cannot 1
cavalierly 1
citizen 1
clothes 1
color 1
common 1
complaint 1
concerns 1
constant 1
contrite 1
country 1
daughter 2
dead 1
death 1
devoted 1
doctor 1
draper 1
drops 1
duke 5
during 1
editions 1
elizabethan 1
enemy 1
even 1
examine 1
falls 1
fashion 1
father 1
feigned 2
finally 2
first 1
follows 1
forces 1
formula 1
free 1
goal 1
had 1
has 1
hastens 1
have 2
having 2
he 6
her 10
him 3
hippolito 6
his 7
hospitalthe 1
however 1
husband 1
husbands 1
in 12
infelice 1
informs 1
insane 1
into 1
ire 1
is 7
it 1
italian 1
key 1
last 1
linen 1
london 1
love 2
madness 1
manipulates 1
many 1
marriage 1
married 2
marries 1
matheo 1
matheoa 1
memory 1
milan 2
most 1
mostly 1
motivated 1
named 1
new 2
next 1
of 7
old 1
own 1
period 1
perpetrates 1
petition 1
play 2
playing 1
plot 3
plots 1
popular 1
presents 1
pretense 1
prostitute 1
provided 1
rake 1
rather 1
recently 1
reconciliation 1
rejects 1
remains 1
repents 2
returning 1
reunited 2
role 1
romantic 1
roused 1
royal 1
running 1
says 1
schemes 1
second 1
seduce 1
seeing 1
seemingly 1
set 1
she 9
shop 1
sin 1
son 1
soninlaw 1
spurns 1
standard 1
subplot 2
subtitle 1
succeeds 1
suddenly 1
supposedly 1
taken 1
that 4
the 25
their 1
thinlydisguised 1
this 3
three 1
thwart 1
title 2
to 17
tolerates 2
tongue 1
tongues 1
trick 1
truth 1
two 1
upset 1
various 1
virtue 1
wants 1
was 2
wearing 1
when 1
which 3
who 2
wife 2
with 3
without 1
women 1
woo 1
