30449279
/m/0g5rk0m
/m/0g5rk0m
Richelle Mead
2009-06-04
a 4
ability 1
all 2
and 3
apart 1
as 1
bad 2
be 1
been 3
being 1
berdemon 1
bestselling 1
boss 1
break 1
breaking 1
bright 1
but 1
clutches 1
control 1
cozy 1
decides 1
dirty 1
down 1
enough 1
exiled 1
figure 1
for 1
foul 1
from 2
frozen 1
georgina 4
getting 1
girlfriend 2
gone 1
good 1
has 1
have 1
hell 1
her 4
him 1
his 3
immortals 1
in 2
is 3
itself 1
jerome 2
keep 1
kidnapped 1
kincaid 1
lately 1
leaving 1
lifesucking 1
loose 1
lose 1
mood 1
mortal 1
mortensen 1
must 1
mysteriously 1
new 1
newly 1
northokay 1
nothing 1
now 1
of 1
on 1
one 1
out 1
outsource 1
over 1
playing 1
population 1
powers 1
process 1
rescue 1
rivaland 1
seattles 1
seth 2
sethnothing 1
shes 1
should 1
so 1
spot 1
spy 1
starts 1
succubus 1
supernatural 1
thanks 1
that 2
the 4
their 1
themor 1
then 1
theres 1
thing 1
to 5
turning 1
under 1
unpleasant 1
up 1
vancouverand 1
which 1
whos 1
wicked 1
will 1
with 3
writer 1
