26130296
/m/0b6nnpy
/m/0b6nnpy
Pascale Roze
1996-08-22
145 1
a 3
a6m 1
aboard 1
about 1
aircraft 1
american 1
an 1
and 5
apart 1
april 1
begin 1
begins 2
can 1
carrier 2
chasseur 1
circumstances 1
death 3
diving 1
explain 1
father 3
flying 1
france 1
girl 1
grandparents 1
grow 1
head 1
hear 1
her 7
ii 1
in 4
is 2
island 1
japanese 1
kamikaze 1
later 1
laura 3
le 1
make 1
manages 1
memory 1
mitsubishi 1
months 1
mother 1
named 1
news 1
no 1
noise 1
nothing 1
of 7
off 1
okinawa 1
one 1
pacific 1
plot 1
receives 1
relationships 1
repeatedly 1
same 1
screaming 1
set 1
she 1
shifts 1
sink 1
sound 1
stop 1
studies 1
the 9
theater 1
three 1
to 6
upset 1
war 1
when 1
while 1
who 1
will 1
world 1
zero 1
zro 1
