4112539
/m/0bjs55
/m/0bjs55
Ann Rinaldi

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
6 1
a 4
about 1
accused 1
adams 7
after 1
against 1
and 7
angry 1
are 3
as 1
away 1
back 2
be 2
because 1
bedroom 1
being 4
best 1
book 2
boston 2
bostonion 1
braintree 1
branded 1
brings 1
british 2
but 4
by 1
career 1
center 1
chapter 1
cold 1
comes 1
continues 1
could 1
crowd 1
day 1
defense 1
did 1
dinner 1
do 1
does 1
doesnt 1
dressed 1
during 1
end 1
england 1
even 1
feels 1
fired 1
follow 1
food 2
for 3
friend 1
from 1
get 1
gets 1
go 1
guns 1
has 2
he 3
heard 1
help 3
helps 1
henry 1
her 9
him 5
his 1
in 11
including 1
is 5
it 2
jail 3
jane 2
john 2
keeper 1
killed 1
kilroy 2
know 1
knox 1
later 1
let 1
life 1
like 1
loose 1
lost 1
manslaughter 1
marsh 1
massive 1
matrimony 1
matthew 8
meantime 1
move 1
mr 4
murder 1
new 1
nothing 1
of 6
one 1
other 1
out 1
particular 1
pennsylvania 1
people 2
position 2
private 1
proposes 1
rachel 6
really 1
refuses 1
right 1
riots 1
ruin 1
secretly 1
self 1
sent 1
she 10
shipped 1
shoots 1
sneaks 1
soldiers 3
start 1
suit 1
swept 1
table 1
tell 1
tells 1
that 4
the 13
them 1
there 2
they 1
thing 1
thinks 1
this 1
to 15
two 1
understands 1
visits 1
wants 4
was 1
were 1
when 1
while 1
why 1
window 1
winter 1
works 1
would 3
young 1
