18698252
/m/04gkkm1
/m/04gkkm1
Sally Morgan
1987

0420672 1
04206776 1
04206784 1
1 1
10 1
14 1
15 1
2 1
3 1
3aboriginal 1
across 1
all 1
also 1
an 1
and 3
are 1
around 1
arthur 1
arts 1
as 1
australia 2
barbara 3
been 1
book 2
by 3
centre 1
children 3
compulsory 1
corunna 3
daisy 1
daughter 1
downs 1
edited 3
family 1
following 1
for 8
fremantle 2
glady 1
has 1
hometown 1
in 3
is 1
isbn 3
ker 3
members 1
morgan 2
mother 1
my 3
narkaling 2
nsw 1
of 4
own 1
part 4
parts 2
perth 1
place 3
press 1
productions 2
program 1
public 1
published 1
readers 4
recounts 1
revolves 1
sally 1
schools 1
setting 1
several 2
story 4
students 1
studied 1
studies3 1
the 5
told 1
western 1
widely 1
wilson 3
young 4
