90022
/m/0mdk9
/m/0mdk9
Pat Barker
1991-05-30
{"/m/098tmk": "War novel", "/m/02xlf": "Fiction"}
a 42
abandonment 1
able 1
abortion 1
about 10
abraham 1
absence 1
abused 1
accompanies 1
according 1
act 1
ada 2
addition 1
admit 1
admits 2
advises 1
affected 1
afraid 1
after 3
again 3
against 2
agrees 1
air 1
aired 1
aka 1
alone 1
along 1
also 2
although 4
always 1
amputee 1
an 7
and 45
anderson 3
angry 2
another 4
anthem 1
any 1
anyone 1
anything 1
apologises 1
appointment 1
approach 1
are 6
army 2
arranged 1
arrested 1
as 10
ashamed 1
asks 2
assures 1
asthma 2
at 16
attack 1
attempting 1
attending 1
attitude 1
attraction 1
authorities 2
authority 1
away 1
awful 1
back 6
background 1
battle 2
be 15
beach 1
beat 1
because 1
been 4
before 3
begins 2
behavior 1
being 3
believes 1
believing 1
beneficial 1
best 1
betty 2
between 3
biblical 1
billy 2
blood 1
board 5
boyfriend 1
breaks 1
bringing 1
british 1
brotherhood 1
brutal 1
bryce 1
burns 6
bush 1
but 4
buttocks 1
by 8
calibre 1
called 3
camaraderie 1
can 2
cannot 2
career 1
carroll 1
cases 1
caught 1
cause 1
causes 3
censor 1
changed 1
chapters 2
charles 1
child 1
church 1
claim 1
class 2
clearly 1
clinic 1
close 2
club 2
coathanger 1
colleague 1
combat 3
come 1
comments 1
compares 1
completing 1
concept 1
conchie 1
condition 1
condom 1
confined 1
conflict 1
conservative 2
continuation 2
continue 1
contraception 1
conversation 2
conversations 1
convince 1
copies 1
could 2
courtmartial 1
coward 1
coworker 1
craiglockhart 10
cure 1
cured 1
damage 1
daughter 1
day 1
days 1
dead 2
death 1
deaths 1
decide 1
decides 1
decision 2
declaration 2
declares 1
deeply 1
defective 1
defiance 1
demands 1
demonstrates 2
departure 2
depressed 1
describe 1
describes 2
did 1
different 1
difficult 2
dinner 1
disagree 1
discharged 1
discover 1
discredit 1
discuss 3
discussion 1
distinctions 1
distinguish 1
do 1
doctor 2
dodgson 1
does 5
doomed 1
door 1
doubting 1
down 1
dr 3
draft 1
due 1
during 2
duty 2
dying 1
eager 1
eats 1
edinburgh 1
effect 1
electroshock 1
emotionally 1
emotions 1
encounter 1
end 1
ends 1
entering 1
even 1
eventually 2
every 1
examined 2
exhaustion 1
exist 1
expects 1
experience 2
experiences 2
explains 2
explanation 1
explosion 1
fact 1
factory 1
faking 1
family 2
famous 1
father 3
fearing 1
fears 1
feeling 1
feelings 2
feels 5
fellow 2
felt 1
few 2
fiance 1
fight 1
fighting 2
filled 1
finally 1
find 1
fire 1
first 2
fitness 1
flashbacks 1
flippant 1
floods 1
for 15
force 2
former 1
france 5
freedom 1
friend 5
friends 5
from 10
front 1
frontline 1
gay 1
generation 1
get 1
gets 1
girl 2
girls 1
give 1
given 1
gives 1
goes 3
golf 1
good 1
goodbye 1
graves 6
gravestone 1
graveyard 1
gruesome 1
guilty 1
had 2
hallucinations 2
happen 1
hard 1
has 10
haunted 1
have 6
having 3
he 49
head 3
heavy 1
helping 1
helps 1
henry 1
her 7
hero 1
hides 2
high 1
him 9
himself 2
his 49
holiday 1
home 7
homosexual 1
homosexuality 3
hope 1
hoped 2
horrifying 1
horror 2
horrors 1
hospital 8
how 4
however 1
hydra 1
hypnosis 1
idea 2
iii 1
illness 1
imminent 1
implying 2
importance 1
impossible 1
in 25
injured 3
injury 2
insists 1
instead 1
institution 1
into 5
introduce 1
invites 1
is 37
isaac 1
it 7
job 5
joke 1
keeping 1
killed 1
kind 2
knocking 1
knows 1
label 1
labelled 1
landing 1
largely 1
larger 1
last 4
later 2
leap 1
learning 1
leaves 3
lectures 1
led 1
left 1
letters 1
lewis 1
lizzie 1
local 1
london 3
loos 1
lost 1
love 3
