1981180
/m/06bq5l
/m/06bq5l
Timothy Zahn

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 5
admiral 1
against 1
ageold 1
alive 1
all 3
alliance 1
along 1
ambitious 1
an 4
and 10
animosities 1
are 1
armada 1
armed 1
as 1
at 1
be 1
been 1
blame 1
bothans 1
brink 1
but 2
by 2
civil 1
clones 1
coalition 2
collapse 1
comes 1
commanding 1
confederation 1
consist 1
conspiracy 1
could 1
countless 1
crews 1
crime 1
cunning 1
dark 2
day 2
dead 1
destroyers 1
devious 1
disciple 1
disra 1
divide 1
do 1
down 1
emperor 1
empire 3
end 1
enemies 1
enigmatic 1
ever 1
face 1
fallen 1
fearful 1
finds 1
fleet 1
for 4
force 2
from 1
genocide 1
grand 1
group 1
growing 1
han 1
has 4
he 2
heinous 1
himself 1
his 3
history 1
hold 1
imperial 1
in 5
inexplicable 1
ingenious 1
invincible 1
is 2
its 2
itself 1
jade 1
join 1
lead 2
leads 1
leia 2
longdead 1
luke 2
lurking 1
lust 1
major 1
mara 1
master 2
mastery 1
moff 1
most 2
mysterious 1
neutral 1
new 6
news 1
odds 1
of 14
on 1
once 2
out 1
own 2
palpatine 1
past 1
pirate 2
plans 1
plot 1
power 1
powerful 1
present 1
prevent 1
princess 1
races 1
reduced 1
republic 5
returned 1
riven 1
rogue 1
rushing 1
ruthless 1
same 1
schooled 1
seemingly 1
sets 1
shadows 1
share 1
sharing 1
she 1
ships 2
side 1
sight 1
skeleton 1
skywalker 1
so 1
solar 1
star 1
startling 1
stratagems 1
struggles 1
success 1
systems 2
team 1
ten 1
that 1
the 28
then 1
this 1
thrawn 1
thrawnbelieved 1
threat 2
tierce 1
time 1
to 13
together 1
total 1
tottering 1
track 1
traditions 1
triumph 1
try 1
uneasy 1
unquestioned 1
unraveling 1
unwieldy 1
up 1
victim 1
war 2
warlord 1
while 1
whom 1
whose 1
will 2
with 6
yearsis 1
