15279566
/m/03hnxv_
/m/03hnxv_
David Gilmour
2007-09

15yearold 1
a 1
allowed 1
and 2
book 1
by 2
completion 1
condition 1
david 1
discussing 1
drugs 1
during 1
each 2
film 1
films 1
for 1
getting 1
gilmour 2
girlfriend 1
go 1
going 1
harder 1
has 1
his 2
influence 1
jesse 3
job 1
live 1
of 1
other 1
schedule 1
school 1
son 1
stop 1
successfully 1
that 1
the 3
their 1
them 1
they 2
this 1
three 2
time 1
to 3
together 1
tries 1
trouble 1
under 1
watch 1
week 1
while 1
with 2
without 1
works 1
years 1
