26030216
/m/0b6j22d
/m/0b6j22d
Robert Muchamore

{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/0dwly": "Children's literature"}
140 1
a 3
accidentally 1
agents 1
and 3
are 3
armies 1
be 1
before 1
big 1
british 3
called 1
can 1
charles 1
children 2
civilians 1
clarke 1
enlisting 1
essential 1
find 1
finds 2
flee 1
forcing 1
france 1
french 1
german 1
germans 1
he 2
help 1
henderson 1
himself 2
hitler 1
however 1
hugo 1
if 1
in 2
invading 1
is 1
kilgour 1
killed 1
later 1
marc 1
meanwhile 2
nazi 1
of 1
old 1
order 1
orphan 1
pair 1
paul 2
reach 1
realises 1
recruits 1
rosie 2
save 1
sixyear 1
soon 1
spy 1
text 1
textbig 3
that 1
the 5
them 1
to 4
tracking 1
trying 1
two 1
war 1
who 1
will 1
win 1
