15359055
/m/03m638h
/m/03m638h
Douglass Wallop

{"/m/014dfn": "Speculative fiction"}
150s 1
a 6
able 1
after 1
all 1
american 1
an 1
and 5
applegate 6
are 1
as 6
back 1
baseball 2
be 3
begins 3
boyd 5
can 1
confidence 1
deal 1
depicted 2
develop 1
discouraged 1
doubts 1
expected 1
extracts 1
facilitate 1
fan 1
fasttalking 1
for 1
from 1
front 1
games 1
get 1
glamorous 1
ground 1
grow 1
had 2
hapless 1
hardy 6
have 1
he 2
help 1
helping 1
himself 3
his 4
however 1
in 3
interest 1
into 2
introduces 1
is 1
joe 4
joins 1
league 1
let 1
lifelong 1
lola 1
longtime 1
losing 1
lost 1
love 1
man 1
may 2
middleaged 1
mildmannered 1
more 1
mr 1
negotiates 1
nemesis 1
new 2
not 1
novel 2
number 1
of 3
offer 1
offers 1
office 1
only 1
over 1
personality 1
place 1
predicament 1
predicted 1
presents 1
promise 1
protagonist 1
realize 1
retransfer 1
runs 1
salvage 1
season 1
senators 6
signing 1
so 2
style 1
suitable 1
superstar 2
suspicious 1
takes 1
temporary 2
temptress 1
than 1
that 3
the 16
their 1
to 7
transform 1
transformation 2
unexpected 1
washington 1
who 1
will 2
win 1
with 4
yankees 1
york 1
young 1
