6101125
/m/0fq4zy
/m/0fq4zy
Julia Ecklar
1989-11-01
3 1
47 1
a 15
about 6
acceptable 1
actions 1
after 2
against 1
all 1
an 4
and 14
any 1
are 2
as 1
assists 1
at 1
attack 1
attackers 1
attempt 1
attention 1
be 1
between 1
black 1
blast 1
but 1
by 5
cadet 1
cadets 3
call 2
captured 1
causes 1
chekov 4
chooses 1
command 3
commanders 1
commits 1
communications 2
completed 1
computer 1
convinces 1
creates 1
crew 2
crippled 1
cruisers 2
damage 1
damages 1
death 1
decides 1
decision 1
despite 1
destroy 2
destroyed 1
different 1
difficult 1
discontinuing 1
distress 2
each 2
early 1
electromagnetic 1
empty 1
en 1
engineering 3
enterprise 3
entrance 1
evacuating 1
ever 1
exercise 5
federation 2
field 2
fight 1
final 1
finally 1
find 1
finds 2
first 2
for 3
freighter 3
from 1
fuel 1
gain 1
garbled 1
going 1
gravitic 1
greatgrandfather 1
group 2
had 2
he 7
heavy 1
help 1
him 3
his 9
hohweyn 1
hole 1
how 2
if 1
iii 1
illness 1
impossible 1
in 8
increasing 1
injured 1
into 3
investigate 1
involves 2
is 8
it 2
itself 1
killing 1
kirk 6
klingon 5
know 1
kobayashi 2
lasts 1
learns 1
lets 1
level 1
lifeending 1
losing 1
lost 1
love 1
made 1
maru 2
mathematically 1
mccoy 1
menak 1
mine 1
model 1
moved 1
name 1
navigation 1
need 1
neutral 1
no 1
nonengineering 1
not 3
nowin 1
of 7
on 2
opening 1
organized 1
other 2
others 1
out 3
outcome 1
part 1
pass 1
pay 1
perera 1
performance 1
period 1
physically 2
pitting 1
plan 2
planet 1
planets 1
possible 1
predetermined 1
probably 1
proceeds 1
proven 2
purpose 1
ramming 1
receives 1
recognize 1
refuses 1
reprogrammed 1
rescued 1
research 1
responded 1
response 1
responsive 1
resulting 1
results 1
returning 1
review 1
route 1
same 1
saving 1
scenario 5
school 3
scotty 4
second 1
secondary 2
see 1
sent 2
ship 3
shows 1
shuttle 4
simulation 1
so 2
solutions 1
space 2
speak 1
starship 1
station 1
story 3
study 1
subjects 1
such 1
suicide 1
sulu 5
system 1
take 1
takes 1
taking 1
tech 1
tell 2
tells 3
test 2
tetsuo 3
that 4
the 45
them 1
theory 1
there 1
this 1
three 1
through 1
thus 1
time 3
to 25
training 2
transporter 1
trap 1
treatments 1
trying 1
turn 1
type 1
un 1
unwinnable 1
upon 1
usable 1
used 2
uss 1
venkatsen 1
vii 1
volley 1
was 3
wave 1
waves 1
way 1
went 1
were 1
when 4
where 2
which 2
who 2
with 2
works 1
years 1
zone 1
