5181905
/m/0d6mpy
/m/0d6mpy
Georgette Heyer
1953
a 7
absence 2
accept 2
adored 1
agree 1
allows 1
an 1
and 9
announced 1
another 1
any 1
anything 1
are 1
arrives 1
as 4
assorted 1
assures 3
at 2
attend 1
be 2
because 1
becoming 1
been 2
begs 1
being 1
believing 1
break 1
brought 1
but 4
by 5
calls 1
charing 1
children 1
clearly 1
collection 1
complications 1
comply 1
confident 1
cotillion 1
couples 1
cousins 1
cry 1
dance 1
decision 1
declines 1
destitute 2
dismayed 1
do 1
does 2
dolph 2
dolphinton 1
doltish 1
during 1
eccentric 1
either 1
engagement 2
ensue 1
exactly 1
expects 1
extensive 1
fact 1
falls 1
family 1
favourite 1
first 1
fishguard 1
fishmiss 1
fond 1
for 7
force 1
four 1
freddy 5
further 1
go 1
goodnatured 1
governess 1
greatly 1
greatnephew 2
greatnephews 3
guardian 1
guesses 1
hails 1
happy 1
has 7
he 6
heiress 1
her 11
heroine 1
him 4
his 10
hopes 1
housekeeper 1
hugh 1
if 1
impoverished 1
in 4
intends 2
intention 1
intentions 1
invite 1
irish 1
is 9
isolation 1
it 1
jack 6
jealous 1
kitty 15
know 1
lead 1
left 1
levity 1
lifestyle 1
live 1
london 3
long 1
lord 1
make 2
makes 1
marries 1
marry 1
marrying 1
matthew 9
money 2
month 2
more 1
mortified 1
mother 2
muchloathed 1
must 1
name 1
nevertheless 1
no 1
not 6
of 10
off 1
offspring 1
once 1
one 2
only 2
or 1
originally 1
orphan 1
own 1
parents 1
party 1
peer 1
penicuik 1
pennycook 1
pities 1
possibility 1
possible 1
prefers 1
pronounced 1
proposals 1
propose 3
proposing 1
quietly 1
rakish 1
rattray 1
really 1
receives 1
reflected 1
reintroduce 1
relief 1
reverend 1
rich 2
rural 1
same 1
scorn 1
seen 1
she 15
should 1
since 1
sisters 1
sleeve 1
some 1
someday 1
something 1
stand 1
standen 1
suitable 1
suspects 1
tell 1
tempered 1
than 1
that 10
the 13
then 1
there 2
thereafter 1
threatens 1
thumb 1
time 2
title 1
to 23
tolerate 1
too 2
unaware 1
uncle 8
unconvinced 1
under 1
up 3
upset 1
very 2
visited 1
wants 1
was 1
wed 1
westruther 1
what 2
when 3
which 1
while 1
whimsical 1
who 2
whom 2
wife 1
will 6
willed 1
wishes 1
with 3
would 1
years 1
youthful 1
