3171583
/m/08wy9w
/m/08wy9w
Gore Vidal

148 2
170 1
a 10
acquiring 1
actor 1
adapt 1
along 1
amok 1
an 1
and 7
are 2
arizona 1
as 1
at 3
attempts 1
babylon 3
back 3
based 1
being 1
bmovie 1
bodies 1
book 1
breckinridge 1
but 1
by 4
california 1
castrate 2
castrated 1
changes 1
character 1
child 1
coincidentally 1
come 1
community 1
connection 1
considering 1
continue 1
cowboy 1
creeping 1
crew 1
desperately 1
dildorape 1
disappears 1
dream 1
dresses 1
drunkenly 1
ecstatic 1
elected 1
encouraged 1
endlessly 1
ends 1
entirely 1
escape 1
eventually 1
figuratively 1
film 3
for 2
former 2
from 1
gay 1
governor 1
has 1
he 1
head 1
hearings 1
her 3
herself 1
heshe 1
his 1
hits 1
hollywood 1
however 1
implants 1
in 5
influence 1
inhabited 1
inside 1
into 4
is 4
it 1
lapses 1
late 1
lesbianism 1
life 1
literally 1
living 1
mailer 1
making 1
maria 2
meets 1
member 2
montez 3
most 1
movie 1
myra 9
myramyron 1
myron 10
narrative 1
night 1
nightmare 1
nixon 1
norman 1
now 1
obtain 1
of 10
off 1
on 5
once 1
one 2
order 1
original 1
others 1
partially 1
permanently 1
perplexed 1
personalities 1
personality 1
places 1
point 2
possessed 1
prefer 1
present 1
repeating 1
republican 1
residence 1
respective 1
restored 1
returning 1
richard 1
room 1
running 2
searches 1
seem 1
self 1
set 4
she 1
show 1
silicone 1
siren 3
slowly 1
slyly 1
soul 1
star 1
starts 1
stay 1
strongly 1
succeeds 1
taking 1
television 1
terrorized 1
the 23
their 2
then 1
this 1
though 1
through 1
time 1
to 13
trades 1
transformed 1
transported 1
transsexual 2
tries 2
true 1
up 1
wants 1
watching 1
watergate 1
way 3
when 1
while 3
who 3
wigs 1
with 4
wrought 1
