14531553
/m/03d6m5q
/m/03d6m5q
Nalo Hopkinson
2003
a 13
abandonment 1
about 1
absence 1
across 1
actress 1
aelia 1
after 1
again 1
against 1
ailing 1
alexandria 1
alone 1
an 2
and 37
another 1
any 1
apartment 2
appears 1
approach 1
are 2
around 1
arson 1
as 13
at 4
attempts 1
author 1
away 2
baby 4
back 1
backra 1
balance 1
barely 1
baudelaire 5
be 2
beauty 1
becomes 3
been 1
beginning 1
begins 2
being 2
belongings 1
between 1
bodies 2
body 1
both 1
brother 1
burning 1
bury 1
but 2
by 7
can 1
capitolina 1
caribbean 1
carrying 1
causes 1
chance 1
character 2
characters 3
charles 1
christian 1
church 2
clean 1
clear 2
climax 1
comes 3
community 1
confidence 1
confronted 1
contemplates 1
content 1
courtyard 1
cut 1
decisions 1
declines 1
deeply 1
deities 1
delivering 1
delivers 1
demagogue 1
desert 1
desired 1
destination 1
dies 2
different 1
does 1
domingue 1
down 2
dream 1
duty 2
duval 1
dwindles 1
edge 1
egypt 1
encouraged 1
enslavement 2
ensue 1
escape 2
essence 1
even 2
eventually 1
fallingout 1
famous 1
fellow 1
female 1
fertility 1
finally 3
finance 1
find 4
finds 3
folk 1
food 2
for 3
foreign 1
france 1
free 1
friend 2
from 2
furniture 1
gather 1
georgine 1
gets 1
ginen 1
give 1
given 1
go 1
god 1
goddess 1
has 1
he 3
healer 1
healing 2
help 1
helper 1
helps 1
her 30
herself 3
him 1
his 5
home 1
homes 1
hopkinson 1
however 3
human 1
iconoclastic 1
illustrating 1
in 16
incites 1
infected 1
inform 1
inhabited 1
inhabiting 1
inhabits 1
inheritance 1
inject 1
intently 1
intertwines 1
into 4
introducing 1
is 13
it 2
jeanne 8
jerusalem 1
jol 1
journey 1
judah 1
knowing 1
lasirn 8
later 1
launching 1
learning 1
leaves 1
lifegiving 1
listen 1
little 1
lives 2
living 1
long 1
loss 2
loved 1
lover 1
main 1
major 1
makandal 4
make 1
managed 1
manager 1
mer 6
minds 1
miscarries 1
misleadingly 1
mistress 2
mixed 2
money 2
months 1
more 1
mother 4
moustique 1
moves 2
must 2
mysterious 1
nature 1
needs 3
no 1
not 1
novel 3
nubian 1
obtaining 1
of 21
off 1
offer 1
old 1
on 3
one 1
or 2
orchestrates 1
origins 1
others 1
otherwise 1
own 1
owner 1
owners 2
pain 1
paralyzed 1
paris 1
pave 1
paving 1
people 1
periods 1
pin 1
place 4
placing 1
plantation 3
plantations 1
poet 1
poison 1
possess 1
power 1
powers 1
prayers 1
presence 1
presentday 1
progresses 1
prostitute 1
pursue 1
rallied 1
reaching 1
rebel 1
relationship 1
return 1
revelation 1
right 1
risk 1
river 1
roads 3
sadness 1
salt 1
san 1
sanatorium 2
save 1
scarce 1
scarcer 1
scene 1
scraping 1
sea 1
see 1
seen 1
seigneur 1
selling 1
sets 1
she 14
short 1
side 1
simenon 1
singer 1
slave 3
slaves 6
so 1
soon 2
speaking 1
stepbrother 1
stillborn 1
stories 1
story 5
stroke 1
subsequently 1
suffers 1
support 1
surroundings 1
syphilis 1
taken 1
takes 1
tells 1
thais 3
that 13
the 50
their 12
them 2
themselves 1
thereafter 1
they 5
third 1
those 1
thoughts 2
three 3
through 1
time 1
tipingee 1
to 23
tongue 1
trying 1
turmoil 1
ultimately 1
up 1
utter 1
visited 1
wandering 1
watch 1
water 2
ways 3
wealth 1
weaves 1
what 1
when 1
while 2
white 3
who 2
will 1
with 7
women 1
working 1
world 2
would 1
wrath 1
youth 1
