7896770
/m/026j1zy
/m/026j1zy
John Marsden
1987
{"/m/03mfnf": "Young adult literature"}
14yearold 1
a 9
able 1
about 1
acid 1
after 1
again 1
all 1
an 1
and 7
anyone 1
appeared 1
are 1
arrival 1
as 3
at 1
away 1
based 1
be 1
because 2
becomes 1
better 1
boarding 1
book 2
but 1
by 3
cannot 1
class 1
communicating 1
content 1
continues 1
create 1
dad 1
day 2
despite 1
determined 1
devises 1
diary 2
during 1
else 1
enables 1
encourages 1
end 1
english 1
entire 1
entries 1
even 1
events 1
eventually 1
face 1
fact 1
fade 1
families 1
father 2
feelings 1
finding 1
first 1
for 2
friends 1
from 1
girl 1
girls 1
goes 1
got 1
has 1
hello 1
her 13
him 1
hospital 1
how 1
however 2
impressions 1
in 2
incident 1
interacting 1
involving 1
is 2
ive 1
journal 1
keep 1
known 1
lasting 1
lindell 1
long 2
maintains 1
make 1
marina 6
more 2
mr 1
much 2
negative 1
nonverbal 1
not 2
nothing 1
novel 1
of 8
on 2
one 1
only 1
opening 1
others 1
over 1
period 1
plan 1
presented 1
profound 1
psyche 1
readers 1
recovery 1
refused 1
resist 1
revealing 1
scarred 1
school 1
see 1
seemingly 1
sent 1
she 8
silence 1
so 3
socialising 1
some 1
speaks 1
story 1
such 1
talk 1
teacher 1
teachers 1
tell 2
that 1
the 10
then 1
thrown 1
time 3
to 11
towards 1
trivial 1
true 1
understand 1
unintended 1
up 1
use 1
utters 1
vial 1
victim 1
warrington 1
was 3
ways 1
when 1
which 2
with 1
words 1
working 1
world 1
writing 1
written 1
you 2
