7873810
/m/026h2y4
/m/026h2y4
Sonya Sones
2001
{"/m/03mfnf": "Young adult literature"}
2007 1
a 4
actually 1
all 1
an 2
and 4
art 1
as 1
astonished 1
at 2
attractive 1
be 1
beauty 1
before 1
book 2
boy 2
boyfriend 2
by 3
cafeteria 1
chatroom 1
chaz 2
choosing 1
classmate 1
classmates 1
companion 1
considered 1
current 1
date 1
discovers 2
does 1
doesnt 1
dumped 1
dylan 2
encounters 1
ends 3
even 1
falls 2
favor 1
finds 1
forms 1
friends 4
from 1
girlfriend 1
he 2
height 1
her 7
herself 1
him 1
his 1
immediately 1
in 6
instead 1
internet 1
into 1
is 3
know 1
knowing 1
life 1
like 1
liked 1
liking 1
local 1
lou 1
love 2
masculine 1
meets 1
much 1
murphy 2
museum 1
my 1
named 1
new 1
not 3
novel 1
now 1
of 5
okay 1
on 1
or 2
outcast 1
own 1
person 1
personality 1
perspective 1
pervert 1
physically 1
published 1
quickly 1
real 1
realize 1
really 1
relationship 4
revealing 1
robin 3
romance 1
secret 2
she 5
sit 1
sophie 5
start 1
that 3
the 9
their 1
then 2
they 1
to 3
was 1
what 1
while 1
with 5
would 1
written 1
