3269932
/m/092g3t
/m/092g3t
Whitley Strieber
1984
{"/m/05hgj": "Novel"}
188 1
a 8
account 1
across 1
after 1
also 1
american 1
an 3
and 15
angeles 1
antonio 1
apartment 1
are 1
arrested 1
as 2
at 2
attack 2
authoritarian 1
aztlan 2
aztlanian 1
back 1
became 1
becomes 1
blast 1
bombings 1
book 1
bus 1
by 4
california 2
captured 1
chelsea 1
chicago 1
citizens 1
city 2
conditions 1
conduct 3
continue 1
dakotasmdashhappen 1
dallas 2
dangerous 1
decide 1
destroyed 1
detonation 1
devastated 1
discover 1
document 1
due 1
during 1
dustbowl 1
duststormsmdashcaused 1
east 1
effects 1
emotion 1
en 1
ends 1
escape 1
evade 1
eventually 1
experiences 1
facing 1
family 2
five 1
flee 1
flooding 1
for 2
foreign 1
formed 1
former 1
francisco 1
friend 1
from 1
future 1
go 1
great 1
hard 1
he 5
herald 1
highly 1
himself 1
his 6
imprisonment 1
in 5
initial 1
interviews 3
into 3
is 2
kunetka 2
labor 1
later 1
leave 1
los 1
makes 1
manhattan 1
midwest 1
minister 1
nationstate 1
new 3
newly 1
news 1
novel 1
nuclear 3
october 1
of 11
old 2
omnipresent 1
on 3
opens 1
overcome 1
pennsylvania 1
period 1
personal 1
police 2
prison 1
quinn 1
radiation 1
radioactive 1
recovery 1
refuge 1
remains 2
reporter 1
result 1
reunite 1
reunited 1
risk 1
route 1
san 2
school 1
sea 1
selfgoverning 1
sentenced 1
settle 1
shelters 1
sickness 1
sneak 1
son 1
soon 1
southeastern 1
southwest 1
southwestern 1
state 1
states 1
streiber 1
strieber 7
subway 1
survives 1
system 1
taking 1
texas 2
that 1
the 15
then 1
there 1
they 10
this 1
through 1
times 1
to 9
train 2
travel 2
triggered 1
trying 1
tsunami 1
ultimately 1
unattacked 1
uncertain 1
united 1
upon 1
very 1
visit 1
visiting 1
visits 1
warday 1
was 3
way 1
well 1
what 2
when 1
whenever 1
where 4
which 2
while 2
with 6
witnesses 1
yarbro 1
years 2
york 3
