1334787
/m/04tm2y
/m/04tm2y
Frank Herbert
1966
a 3
able 1
about 1
all 3
almost 1
an 1
and 3
arises 1
assumptions 1
believe 1
book 2
brain 1
brazil 1
but 1
cerveau 1
collective 1
command 1
completely 1
conquered 1
controlling 1
diminishing 1
divided 1
dominate 1
domination 1
earth 1
embodies 1
find 1
form 1
frle 1
from 1
future 1
green 3
has 1
he 1
human 1
humankind 1
humanoidshaped 1
humans 1
in 3
infiltrate 1
insect 1
insects 1
intelligent 1
into 1
investigate 1
is 6
it 2
jungles 1
life 2
nature 1
not 1
notsodistant 1
of 3
on 1
or 1
organism 1
organisms 1
out 2
planet 1
problem 1
red 1
resistance 1
sent 1
set 1
small 1
so 1
social 1
some 1
succeeded 1
team 1
that 3
the 10
their 1
they 1
title 1
to 6
totally 1
uses 1
vert 1
were 1
where 1
which 2
who 1
wiping 1
wrong 1
yet 1
zone 3
