14123094
/m/03cv90x
/m/03cv90x
Alistair MacLean
1973
{"/m/01jfsb": "Thriller"}
1 1
a 3
accidents 1
after 2
alcoholic 1
along 1
an 1
and 2
another 1
anything 1
appears 1
become 1
been 1
being 1
best 1
but 1
champion 1
circuit 1
crash 1
decides 1
devastating 1
discovering 1
do 1
driver 2
fellow 1
few 1
finds 1
formula 1
friend 1
from 1
girlfriend 1
harlow 1
have 2
he 1
him 1
his 2
in 1
investigate 1
involved 1
johnny 1
kills 1
lately 1
maiming 1
many 1
on 1
out 1
people 1
prevent 1
protagonist 1
racing 1
realizes 1
soon 1
that 2
the 3
there 1
to 3
too 1
truth 1
who 1
will 1
with 1
world 1
wreck 1
yet 1
