4205955
/m/0bpxrd
/m/0bpxrd
Robin Cook
2001
{"/m/05hgj": "Novel", "/m/06n90": "Science Fiction", "/m/0c3351": "Suspense", "/m/01qxvh": "Romance novel", "/m/02xlf": "Fiction"}
a 5
access 3
alias 2
all 2
an 2
and 4
are 3
as 9
assistant 1
break 1
bring 1
but 1
by 2
card 2
cells 1
changes 1
chase 1
clinic 5
culture 1
data 1
deborah 2
deceased 1
decide 1
eggs 1
employed 1
employee 1
employees 1
end 1
entry 1
failure 1
file 1
find 1
first 1
for 1
forge 1
friend 1
from 2
gain 1
georgina 1
get 4
gets 2
getting 1
giving 1
guess 1
hacker 1
happens 1
has 1
heatherly 1
help 1
here 1
high 1
him 1
identity 2
illdeeds 1
illegally 1
in 6
information 1
inside 1
into 3
it 1
joanna 3
job 1
kill 1
knowledge 1
lab 1
leaving 1
liquor 1
lives 1
logged 1
made 1
managed 1
many 1
marks 1
met 1
mothers 1
movements 1
novel 1
number 1
of 9
officers 1
on 2
online 1
openending 1
order 1
organ 1
out 1
ovary 1
overdose 1
owner 1
parallel 1
performs 1
posing 1
processing 1
prospective 1
prudence 1
readers 1
recently 1
records 2
revealed 1
room 2
save 1
security 2
server 2
social 1
spencer 1
starts 1
steal 1
stem 1
stolen 1
subjected 1
surrogate 1
system 2
that 1
the 26
theft 1
their 3
them 1
then 1
they 6
to 11
try 3
unauthorized 1
under 2
unfortunately 1
use 1
uses 1
using 2
very 1
villains 1
was 2
well 2
wellprotected 1
what 1
where 2
while 2
wingate 5
with 1
women 2
word 1
work 1
workers 1
world 1
