5925685
/m/0fdw6k
/m/0fdw6k
John O'Hara

130s 1
140 1
2008 5
a 19
about 1
act 2
affair 2
after 1
again 2
agent 1
agree 1
alone 1
ambitious 2
an 7
and 27
andreas 1
answer 1
apartment 3
appear 1
are 1
around 1
arrests 1
arrives 2
artists 1
as 5
asking 1
at 5
auditions 1
back 3
ballet 1
based 1
be 1
bebe 1
because 2
begins 1
behavior 1
believes 1
believing 1
bewildered 2
bewitched 2
big 1
blackmail 2
bob 1
book 2
bored 1
bothered 2
bumps 2
but 1
caddish 1
calls 4
career 1
carter 1
celebrities 1
chadman 1
channing 1
character 1
charming 1
chez 4
chicago 2
chorus 5
christine 1
christopher 1
classwikitable 1
clerk 1
clifton 1
closes 1
clothes 2
clothing 1
club 9
come 1
comes 1
commissioner 1
confronts 1
conspires 1
continue 1
continues 1
convince 1
copeland 1
could 1
crooked 1
daisy 1
dancersinger 1
date 1
davis 1
days 1
deal 1
defensively 1
definite 1
den 1
description 1
dig 1
dinner 1
dislike 1
distraught 1
distrusts 1
dixie 1
do 1
does 1
doesnt 2
doing 1
donna 1
dreams 1
durant 1
during 1
eisenberg 1
elaine 1
emcee 2
english 2
ernst 1
evans 2
expensive 1
falls 1
family 1
few 1
fired 2
fires 2
flame 1
floor 1
flower 1
for 5
forced 1
forward 1
fosse 1
friend 1
from 2
future 1
gallagher 1
garden 1
gardner 1
gay 1
gene 1
get 2
gets 1
girl 1
girls 4
gives 1
gladys 8
glowing 1
grandiose 1
grey 1
gypsy 1
happy 1
hard 1
hardtoget 1
harold 1
has 2
have 3
having 1
havoc 1
he 4
heart 1
heel 1
helen 1
her 5
him 6
himself 1
his 7
history 1
hopes 1
horn 1
horne 1
hunting 1
i 2
if 1
ii 1
impresses 1
in 13
including 1
initially 1
innocently 1
instant 1
insults 1
interest 1
interviews 2
into 3
introduces 1
invitation 1
invites 1
is 7
it 2
jack 1
jealous 1
joan 1
job 2
joel 1
joey 35
joeyjoey 1
josephine 1
june 1
kay 1
kelly 1
kick 1
lang 1
last 1
late 1
later 1
leave 1
leaves 1
leaving 1
lee 1
left 1
leila 1
lena 1
lewis 1
lies 1
linda 16
lindfors 1
line 1
lionel 1
little 1
looks 2
lowell 4
ludlow 2
lupone 1
man 1
manager 1
married 1
martha 1
mc 1
medford 1
meets 1
melba 2
men 1
mike 3
morning 1
murphy 1
mustnt 1
my 1
naive 1
nave 1
ned 1
neuwirth 1
next 2
night 3
nightclub 3
not 2
notable 1
now 2
number 1
of 3
old 2
on 2
opening 2
original 1
our 1
out 2
outside 2
overhears 1
own 3
owner 1
pal 1
papers 2
patti 1
pay 1
performance 1
performers 1
performing 1
perlman 1
pet 2
phillips 1
picks 1
plans 1
plant 1
plays 2
pleasures 1
plimpton 1
plotting 1
police 1
premice 1
prince 1
rainbow 1
recalling 1
reflect 1
refuses 2
rehearsal 1
rehearsals 1
rehearse 1
relationship 1
relocated 1
reporter 3
representative 1
reprise 1
responds 1
return 1
revival 5
rich 1
rising 1
rita 1
romance 1
ron 1
rose 1
run 1
runs 1
saying 1
scheme 1
schemes 1
secondrate 1
see 1
seeing 1
segal 1
sets 1
she 4
shell 1
shop 2
shopping 1
show 2
shows 1
signed 1
signs 1
simpson 2
sin 1
sincerity 1
singer 1
singerdancer 1
singers 1
skit 1
smalltime 1
snyder 1
so 1
socialite 2
songanddance 1
stander 1
standing 1
start 1
stenographer 1
stockard 1
store 1
strikes 1
striptease 1
stritch 1
take 1
takes 1
terrific 1
that 4
the 37
their 1
they 3
threatens 1
throws 1
to 15
top 1
trouble 1
unthinkingly 1
up 2
use 1
various 1
vera 22
vicki 1
viveca 1
vivienne 1
walks 1
way 1
wealthy 1
what 2
when 1
while 1
who 5
width100 1
width200 2
will 2
with 11
within 1
without 1
witnessed 1
womanizing 1
worth 1
write 1
you 3
young 1
zip 2
