20939542
/m/05b0142
/m/05b0142
Chris Grabenstein
2008
40 1
a 5
accident 1
ago 1
all 1
an 1
and 2
at 2
back 1
backyard 1
began 1
car 1
caused 1
connecticut 1
cost 1
crazed 1
crossroads 1
dad 1
dark 1
descendants 1
died 1
during 1
fathers 1
fifty 1
for 1
grandfather 1
has 2
have 1
he 1
him 1
his 6
history 1
hit 1
hits 1
hometown 1
house 1
huge 1
in 1
inhabited 1
innocent 1
is 1
it 1
jennings 1
just 1
killer 1
knowing 1
life 1
lightning 1
lives 1
looking 1
malevolent 1
moved 1
nearby 1
new 2
not 1
of 1
releasing 1
since 1
spirit 3
started 1
starting 1
stepmother 1
storm 1
that 2
the 6
their 1
then 1
those 1
to 1
took 1
tree 3
when 1
which 1
who 1
whose 1
with 1
years 1
zack 3
