68857
/m/0hznb
/m/0hznb
Iain Banks
1988
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 10
about 1
accepting 1
accompanied 1
admitted 1
advances 1
against 4
agreements 1
agrees 1
allowed 1
also 2
although 1
an 2
and 9
another 2
arrives 1
as 5
attempt 2
attempts 1
azad 3
back 1
backroom 1
be 1
been 2
blackmail 1
board 1
bored 1
but 3
by 5
cheat 1
chiark 1
circumstances 3
citizen 1
cloud 1
coincidental 1
complex 2
considering 1
contests 1
convinces 1
cooperate 1
corrupt 1
culture 3
defeat 1
deflected 1
determine 1
different 1
discovers 1
drone 3
due 1
e 1
ejected 1
emperor 2
empire 3
entire 1
event 1
explain 1
faced 1
fact 1
fails 1
famously 1
fashion 1
final 1
flereimsaho 4
for 1
forming 1
friends 1
from 4
further 1
game 5
games 1
grasped 1
gurgeh 9
had 1
has 1
have 1
he 8
him 3
himself 2
his 8
home 1
how 1
if 1
in 8
increasingly 1
inquires 1
insisting 1
into 2
is 9
it 3
its 1
itself 2
jernau 1
journey 1
kill 1
killed 1
lands 1
larger 1
later 1
life 1
lives 2
long 1
magellanic 1
many 1
markedly 1
matched 1
matches 1
mawhrinskel 4
measure 1
morat 1
much 1
named 1
narrator 1
naturally 1
never 1
next 1
novel 1
odds 1
of 9
offer 2
on 2
one 3
opponents 2
or 1
orbital 1
other 1
outlook 1
overthrow 1
own 2
part 1
participate 2
participation 1
pawn 1
perfect 1
personality 1
philosophical 1
planet 1
player 3
plays 1
plot 1
political 2
politicians 1
powerful 1
rank 1
reader 1
recording 1
reflect 1
refuses 1
revealed 1
reveals 1
round 1
rules 1
same 1
savage 1
shot 1
similar 1
skilful 1
small 1
social 1
special 3
spends 1
stack 1
status 1
studying 1
style 1
subtle 1
successful 1
such 1
sufficiently 1
tactics 1
tell 1
that 5
the 24
their 1
this 1
though 1
through 1
time 1
to 13
tournament 1
travelling 1
truth 1
two 1
ultimately 2
unless 1
unprecedented 1
unstable 1
unsure 1
up 1
used 1
uses 1
was 5
way 1
weapon 1
well 1
where 1
which 2
while 1
who 3
whole 1
whom 1
will 1
willingness 1
win 1
with 3
within 1
wont 1
years 1
