7901786
/m/026jbl4
/m/026jbl4
Isabel Allende

{"/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 15
able 2
about 1
acquiring 1
adventures 1
after 2
alexander 4
all 2
allows 1
along 4
also 3
although 1
amazon 1
america 1
an 3
ancient 1
and 27
animal 1
animalistic 1
annoyed 1
archaeologist 1
are 2
around 1
arrive 1
arriving 2
article 1
artifact 1
as 9
asking 1
assigned 1
at 1
awake 1
babies 2
back 2
bahadur 1
balms 1
be 5
beautiful 1
been 2
begins 1
being 1
believed 1
bigger 1
boroba 1
brazil 1
breastfeed 1
bring 1
but 3
by 1
call 1
called 1
calls 1
calm 1
cause 1
ceases 1
chegnos 1
clubs 1
cold 2
collect 1
collector 2
come 2
complex 1
contaminated 1
contrast 1
convinces 1
country 1
course 1
cut 1
cuts 1
deal 1
diamond 1
diamonds 3
die 1
diet 1
dil 1
disciple 3
discover 1
diseased 1
distance 1
does 1
domesticated 1
done 1
doubtful 1
dragon 4
drink 2
due 1
each 1
eggs 1
energy 1
environment 1
ever 1
feed 1
few 1
find 3
for 3
force 1
forces 1
foresee 1
fortune 1
found 2
foundation 1
friend 1
from 11
fund 1
further 1
future 1
generation 2
geographic 2
get 1
girl 1
girls 3
gives 2
gods 2
goes 1
golden 4
grandmother 2
grandson 1
great 2
grow 1
grrympr 2
had 1
has 3
have 4
he 1
health 1
help 3
her 5
himalaya 1
himself 1
his 5
how 1
humanlike 1
humans 1
immediately 1
improvement 1
improves 1
in 16
indians 1
initially 1
instructions 1
international 2
into 1
investigation 1
involved 1
is 8
isaac 1
it 5
item 1
jeweler 1
journey 2
kate 4
keen 1
kidnap 1
kidnapped 1
kingdom 4
known 1
lama 1
lamas 4
large 2
largest 1
last 1
learn 1
leblanc 1
little 2
longer 1
ludovic 1
make 1
man 2
many 1
market 1
matriarch 1
medicines 1
milk 3
minerals 1
mist 1
mistaken 1
monk 2
months 1
morning 1
moving 1
much 1
nadia 4
nearly 1
nemesis 1
new 1
night 1
no 1
not 1
nourishment 1
novel 2
now 1
observing 1
of 20
off 1
often 1
old 2
on 2
once 1
only 2
organization 1
other 3
part 1
past 1
pema 1
people 2
plants 2
plot 1
previous 1
prince 1
protect 1
purple 2
rapidly 1
rare 1
remain 1
remote 1
return 1
richer 1
richest 2
rosenblat 1
sad 1
save 2
scene 2
search 1
second 2
see 2
seeks 1
seems 1
seen 1
senses 1
she 1
shifts 3
short 1
show 2
shows 1
sickly 1
sign 1
sinister 1
six 1
slaves 1
slow 1
smaller 1
so 1
society 1
something 1
soon 2
south 1
specialist 1
springs 2
started 1
stay 1
stock 1
story 2
strengthen 1
stronger 1
talking 2
teach 1
tells 2
tensing 1
that 8
the 80
their 6
them 7
themselves 1
then 3
there 1
thermal 1
they 13
this 2
three 1
time 1
to 34
tongues 2
toxic 1
travel 1
traveling 1
tribe 1
tunnel 1
up 1
use 4
valley 2
very 1
warriors 1
was 2
water 1
weak 1
weakening 1
weaker 1
weakness 1
weapons 1
well 2
were 1
what 1
when 1
which 3
who 3
whose 1
why 1
with 8
world 2
worth 1
wrath 1
write 1
writer 1
yet 1
yeti 14
yetis 2
york 1
young 2
