5846816
/m/0f8shz
/m/0f8shz
Gary Blackwood

a 4
abraham 1
act 1
actor 1
actually 1
an 1
and 2
appearing 1
approaching 1
as 1
authorities 1
before 1
befriends 1
boarding 2
booth 2
boy 1
by 1
cassandra 4
civil 1
confesses 1
david 1
death 1
does 1
ends 1
father 1
girl 1
grow 1
happening 1
have 2
having 1
her 1
herold 1
his 2
house 2
in 2
into 1
is 5
it 1
john 1
joins 1
joseph 4
kill 1
late 1
lincoln 3
local 1
mary 1
meanwhile 1
meet 1
mind 1
moves 2
named 1
of 2
planning 1
president 1
production 1
prove 1
reading 1
run 1
second 1
she 2
sight 1
something 1
stronger 1
surratt 1
terrible 1
that 2
the 2
they 1
to 6
too 1
uncle 1
visions 2
war 1
when 1
where 1
who 3
wilkes 1
with 1
young 1
