7829182
/m/026fjh2
/m/026fjh2
André Franquin
1950

147 1
408nbspkg 1
a 8
accepts 1
adopt 1
adventures 1
african 1
against 1
an 3
and 8
apartment 1
armsdealing 1
artaban 1
asks 1
assaults 1
attempts 1
be 1
become 1
big 1
blueprints 1
boxing 2
brussels 1
bully 1
but 1
by 1
challenges 1
cheating 1
class 2
coach 1
community 1
courage 1
criminals 1
dandy 1
doomsday 1
drawings 1
during 1
entire 1
epic 1
equestrian 1
escaped 1
event 1
fantasio 5
for 2
forest 1
friendly 1
from 3
gentleman 1
getting 1
given 1
go 1
hands 1
have 1
him 2
home 1
horse 2
horseback 1
hunch 1
in 6
is 5
island 1
it 3
joins 1
keep 1
le 1
leading 1
leopard 1
mad 1
manage 1
match 2
meets 1
mix 1
must 1
named 1
need 1
neighbour 1
noble 1
nobly 1
occasion 1
of 1
on 2
out 2
picnic 1
played 1
playing 1
plumeau 1
poildur 1
potential 1
professor 1
protect 1
pygmies 1
pygmy 1
radar 1
reluctantly 1
revealed 1
rides 1
ridiculously 1
riding 1
ring 1
robot 3
samovar 1
sequel 1
spip 1
spirou 10
steed 1
tactics 1
take 1
the 10
their 1
they 2
this 2
to 11
tribes 1
trip 1
turns 1
unable 1
unhorselike 1
up 1
upper 1
very 1
villains 1
weight 1
while 1
who 1
with 3
working 1
world 1
zoo 1
